scenario,group,stopRatio,takeRatio,n,totalR,avgR,wr
ote,BNB/USDT,61.8,100,309,54.716,0.1771,57.9
ote,DOGE/USDT,61.8,100,258,55.418,0.2148,57.0
ote,ADA/USDT,61.8,100,278,65.428,0.2354,57.9
ote,AVAX/USDT,61.8,100,267,64.839,0.2428,58.1
ote,LINK/USDT,61.8,100,308,82.073,0.2665,59.4
ote,SUI/USDT,61.8,100,311,72.534,0.2332,57.2
ote,TON/USDT,61.8,100,272,80.849,0.2972,60.7
ote,NEAR/USDT,61.8,100,254,80.205,0.3158,60.6
ote,APT/USDT,61.8,100,273,73.005,0.2674,58.6
ote,LTC/USDT,61.8,100,252,50.279,0.1995,57.5
ote,H1,61.8,100,1977,438.795,0.2220,57.0
ote,H2,61.8,100,1981,500.307,0.2526,59.9
ote,all,61.8,120,3958,342.194,0.0865,34.5
ote,15m,61.8,120,1152,86.713,0.0753,35.8
ote,30m,61.8,120,1373,124.547,0.0907,34.6
ote,1h,61.8,120,1433,130.935,0.0914,33.5
ote,BTC/USDT,61.8,120,329,20.654,0.0628,35.3
ote,ETH/USDT,61.8,120,247,73.713,0.2984,40.5
ote,SOL/USDT,61.8,120,306,85.535,0.2795,39.9
ote,XRP/USDT,61.8,120,294,-32.726,-0.1113,29.3
ote,BNB/USDT,61.8,120,309,29.754,0.0963,36.6
ote,DOGE/USDT,61.8,120,258,8.089,0.0314,32.6
ote,ADA/USDT,61.8,120,278,12.610,0.0454,33.1
ote,AVAX/USDT,61.8,120,267,30.516,0.1143,34.8
ote,LINK/USDT,61.8,120,308,63.134,0.2050,37.7
ote,SUI/USDT,61.8,120,311,41.221,0.1325,35.0
ote,TON/USDT,61.8,120,272,1.417,0.0052,32.0
ote,NEAR/USDT,61.8,120,254,-35.445,-0.1395,27.2
ote,APT/USDT,61.8,120,273,-15.049,-0.0551,29.7
ote,LTC/USDT,61.8,120,252,58.772,0.2332,39.3
ote,H1,61.8,120,1977,146.699,0.0742,33.5
ote,H2,61.8,120,1981,195.495,0.0987,35.5
ote,all,61.8,141,3958,18.648,0.0047,23.9
ote,15m,61.8,141,1152,-53.048,-0.0460,24.0
ote,30m,61.8,141,1373,94.172,0.0686,25.1
ote,1h,61.8,141,1433,-22.475,-0.0157,22.5
ote,BTC/USDT,61.8,141,329,-23.795,-0.0723,23.4
ote,ETH/USDT,61.8,141,247,16.030,0.0649,25.1
ote,SOL/USDT,61.8,141,306,84.810,0.2772,29.4
ote,XRP/USDT,61.8,141,294,-45.386,-0.1544,20.7
ote,BNB/USDT,61.8,141,309,-37.236,-0.1205,22.7
ote,DOGE/USDT,61.8,141,258,-30.902,-0.1198,20.9
ote,ADA/USDT,61.8,141,278,-11.430,-0.0411,22.7
ote,AVAX/USDT,61.8,141,267,-20.837,-0.0780,21.7
ote,LINK/USDT,61.8,141,308,45.395,0.1474,26.6
ote,SUI/USDT,61.8,141,311,34.472,0.1108,25.4
ote,TON/USDT,61.8,141,272,4.381,0.0161,23.9
ote,NEAR/USDT,61.8,141,254,-20.780,-0.0818,21.3
ote,APT/USDT,61.8,141,273,-14.421,-0.0528,22.0
ote,LTC/USDT,61.8,141,252,38.347,0.1522,27.4
ote,H1,61.8,141,1977,-38.472,-0.0195,22.8
ote,H2,61.8,141,1981,57.120,0.0288,24.9
ote,all,61.8,161,3958,-134.275,-0.0339,18.5
ote,15m,61.8,161,1152,-170.414,-0.1479,17.6
ote,30m,61.8,161,1373,86.833,0.0632,20.0
ote,1h,61.8,161,1433,-50.694,-0.0354,17.7
ote,BTC/USDT,61.8,161,329,-34.530,-0.1050,18.2
ote,ETH/USDT,61.8,161,247,-18.065,-0.0731,17.8
ote,SOL/USDT,61.8,161,306,53.826,0.1759,21.9
ote,XRP/USDT,61.8,161,294,-75.129,-0.2555,15.0
ote,BNB/USDT,61.8,161,309,-13.837,-0.0448,19.4
ote,DOGE/USDT,61.8,161,258,-20.292,-0.0787,17.4
ote,ADA/USDT,61.8,161,278,-26.202,-0.0943,17.3
ote,AVAX/USDT,61.8,161,267,-23.305,-0.0873,17.2
ote,LINK/USDT,61.8,161,308,41.078,0.1334,21.1
ote,SUI/USDT,61.8,161,311,44.846,0.1442,20.9
ote,TON/USDT,61.8,161,272,-32.276,-0.1187,16.9
ote,NEAR/USDT,61.8,161,254,-64.170,-0.2526,14.2
ote,APT/USDT,61.8,161,273,-14.478,-0.0530,17.6
ote,LTC/USDT,61.8,161,252,48.261,0.1915,22.6
ote,H1,61.8,161,1977,-62.917,-0.0318,18.1
