scenario,group,stopRatio,takeRatio,n,totalR,avgR,wr
deep,H1,-15,50,928,140.784,0.1517,95.9
deep,H2,-15,50,933,145.548,0.1560,97.3
deep,all,-15,61.8,1861,374.015,0.2010,85.2
deep,15m,-15,61.8,547,123.196,0.2252,87.9
deep,30m,-15,61.8,625,126.857,0.2030,85.3
deep,1h,-15,61.8,689,123.962,0.1799,83.0
deep,BTC/USDT,-15,61.8,141,25.785,0.1829,85.1
deep,ETH/USDT,-15,61.8,114,33.276,0.2919,91.2
deep,SOL/USDT,-15,61.8,143,30.644,0.2143,86.0
deep,XRP/USDT,-15,61.8,141,24.137,0.1712,83.7
deep,BNB/USDT,-15,61.8,126,26.764,0.2124,87.3
deep,DOGE/USDT,-15,61.8,131,17.163,0.1310,80.2
deep,ADA/USDT,-15,61.8,133,19.321,0.1453,81.2
deep,AVAX/USDT,-15,61.8,136,32.313,0.2376,87.5
deep,LINK/USDT,-15,61.8,141,22.399,0.1589,82.3
deep,SUI/USDT,-15,61.8,122,28.146,0.2307,86.9
deep,TON/USDT,-15,61.8,133,33.997,0.2556,88.7
deep,NEAR/USDT,-15,61.8,142,25.776,0.1815,83.1
deep,APT/USDT,-15,61.8,135,28.260,0.2093,85.2
deep,LTC/USDT,-15,61.8,123,26.034,0.2117,86.2
deep,H1,-15,61.8,928,186.000,0.2004,84.7
deep,H2,-15,61.8,933,188.015,0.2015,85.7
deep,all,-15,70,1861,374.338,0.2011,77.2
deep,15m,-15,70,547,128.238,0.2344,80.3
deep,30m,-15,70,625,119.613,0.1914,76.5
deep,1h,-15,70,689,126.487,0.1836,75.3
deep,BTC/USDT,-15,70,141,31.011,0.2199,79.4
deep,ETH/USDT,-15,70,114,29.816,0.2615,80.7
deep,SOL/USDT,-15,70,143,38.288,0.2677,81.1
deep,XRP/USDT,-15,70,141,22.729,0.1612,75.2
deep,BNB/USDT,-15,70,126,22.393,0.1777,77.0
deep,DOGE/USDT,-15,70,131,15.517,0.1185,71.8
deep,ADA/USDT,-15,70,133,24.616,0.1851,75.9
deep,AVAX/USDT,-15,70,136,19.826,0.1458,73.5
deep,LINK/USDT,-15,70,141,20.667,0.1466,73.8
deep,SUI/USDT,-15,70,122,33.122,0.2715,81.1
deep,TON/USDT,-15,70,133,40.820,0.3069,83.5
deep,NEAR/USDT,-15,70,142,26.123,0.1840,75.4
deep,APT/USDT,-15,70,135,24.967,0.1849,75.6
deep,LTC/USDT,-15,70,123,24.443,0.1987,77.2
deep,H1,-15,70,928,175.809,0.1894,76.0
deep,H2,-15,70,933,198.529,0.2128,78.3
deep,all,-15,78.6,1861,325.511,0.1749,68.7
deep,15m,-15,78.6,547,108.998,0.1993,71.1
deep,30m,-15,78.6,625,127.062,0.2033,70.2
deep,1h,-15,78.6,689,89.451,0.1298,65.5
deep,BTC/USDT,-15,78.6,141,33.055,0.2344,73.0
deep,ETH/USDT,-15,78.6,114,28.642,0.2512,72.8
deep,SOL/USDT,-15,78.6,143,31.908,0.2231,71.3
deep,XRP/USDT,-15,78.6,141,20.174,0.1431,67.4
deep,BNB/USDT,-15,78.6,126,12.657,0.1005,65.9
deep,DOGE/USDT,-15,78.6,131,9.257,0.0707,62.6
deep,ADA/USDT,-15,78.6,133,12.218,0.0919,63.9
deep,AVAX/USDT,-15,78.6,136,16.307,0.1199,65.4
deep,LINK/USDT,-15,78.6,141,30.378,0.2154,70.9
deep,SUI/USDT,-15,78.6,122,31.229,0.2560,73.0
deep,TON/USDT,-15,78.6,133,37.379,0.2810,74.4
deep,NEAR/USDT,-15,78.6,142,20.307,0.1430,66.2
deep,APT/USDT,-15,78.6,135,16.503,0.1222,65.2
deep,LTC/USDT,-15,78.6,123,25.498,0.2073,70.7
deep,H1,-15,78.6,928,152.730,0.1646,67.7
deep,H2,-15,78.6,933,172.781,0.1852,69.8
deep,all,-15,88.6,1861,288.666,0.1551,61.2
deep,15m,-15,88.6,547,88.327,0.1615,62.5
deep,30m,-15,88.6,625,116.589,0.1865,62.7
deep,1h,-15,88.6,689,83.750,0.1216,58.8
deep,BTC/USDT,-15,88.6,141,30.424,0.2158,65.2
deep,ETH/USDT,-15,88.6,114,18.553,0.1627,61.4
deep,SOL/USDT,-15,88.6,143,37.239,0.2604,66.4
deep,XRP/USDT,-15,88.6,141,20.218,0.1434,61.0
deep,BNB/USDT,-15,88.6,126,16.091,0.1277,61.1
deep,DOGE/USDT,-15,88.6,131,0.883,0.0067,53.4
deep,ADA/USDT,-15,88.6,133,8.472,0.0637,56.4
deep,AVAX/USDT,-15,88.6,136,11.278,0.0829,57.4
deep,LINK/USDT,-15,88.6,141,29.432,0.2087,63.8
deep,SUI/USDT,-15,88.6,122,18.329,0.1502,60.7
deep,TON/USDT,-15,88.6,133,36.172,0.2720,66.9
deep,NEAR/USDT,-15,88.6,142,14.352,0.1011,57.7
deep,APT/USDT,-15,88.6,135,19.219,0.1424,60.0
deep,LTC/USDT,-15,88.6,123,28.003,0.2277,65.0
deep,H1,-15,88.6,928,122.848,0.1324,59.6
deep,H2,-15,88.6,933,165.819,0.1777,62.8
deep,all,-15,100,1861,286.522,0.1540,55.2
deep,15m,-15,100,547,88.241,0.1613,56.5
deep,30m,-15,100,625,115.127,0.1842,56.5
deep,1h,-15,100,689,83.153,0.1207,53.0
deep,BTC/USDT,-15,100,141,34.630,0.2456,60.3
deep,ETH/USDT,-15,100,114,16.073,0.1410,54.4
deep,SOL/USDT,-15,100,143,31.187,0.2181,58.0
deep,XRP/USDT,-15,100,141,18.687,0.1325,54.6
deep,BNB/USDT,-15,100,126,17.019,0.1351,55.6
deep,DOGE/USDT,-15,100,131,7.153,0.0546,50.4
deep,ADA/USDT,-15,100,133,11.401,0.0857,51.9
deep,AVAX/USDT,-15,100,136,8.191,0.0602,50.7
deep,LINK/USDT,-15,100,141,22.380,0.1587,55.3
deep,SUI/USDT,-15,100,122,18.986,0.1556,54.9
deep,TON/USDT,-15,100,133,33.213,0.2497,59.4
deep,NEAR/USDT,-15,100,142,23.189,0.1633,54.9
deep,APT/USDT,-15,100,135,19.101,0.1415,54.1
deep,LTC/USDT,-15,100,123,25.312,0.2058,57.7
deep,H1,-15,100,928,132.023,0.1423,54.2
deep,H2,-15,100,933,154.499,0.1656,56.2
deep,all,-15,120,1861,248.281,0.1334,46.3
deep,15m,-15,120,547,54.287,0.0992,45.9
deep,30m,-15,120,625,114.350,0.1830,48.2
deep,1h,-15,120,689,79.643,0.1156,45.0
deep,BTC/USDT,-15,120,141,40.719,0.2888,53.2
deep,ETH/USDT,-15,120,114,18.723,0.1642,47.4
deep,SOL/USDT,-15,120,143,28.918,0.2022,49.0
deep,XRP/USDT,-15,120,141,16.731,0.1187,46.1
deep,BNB/USDT,-15,120,126,17.450,0.1385,47.6
deep,DOGE/USDT,-15,120,131,11.328,0.0865,44.3
deep,ADA/USDT,-15,120,133,11.679,0.0878,44.4
deep,AVAX/USDT,-15,120,136,-1.897,-0.0140,40.4
deep,LINK/USDT,-15,120,141,20.859,0.1479,46.8
deep,SUI/USDT,-15,120,122,15.930,0.1306,45.9
deep,TON/USDT,-15,120,133,21.846,0.1643,47.4
deep,NEAR/USDT,-15,120,142,11.581,0.0816,43.7
deep,APT/USDT,-15,120,135,2.972,0.0220,41.5
deep,LTC/USDT,-15,120,123,31.441,0.2556,51.2
deep,H1,-15,120,928,118.565,0.1278,45.7
deep,H2,-15,120,933,129.716,0.1390,46.9
deep,all,-15,141,1861,265.065,0.1424,40.5
deep,15m,-15,141,547,45.792,0.0837,39.3
deep,30m,-15,141,625,126.569,0.2025,42.4
deep,1h,-15,141,689,92.704,0.1345,39.6
deep,BTC/USDT,-15,141,141,52.375,0.3715,48.9
deep,ETH/USDT,-15,141,114,13.426,0.1178,39.5
deep,SOL/USDT,-15,141,143,32.699,0.2287,43.4
deep,XRP/USDT,-15,141,141,3.952,0.0280,36.9
deep,BNB/USDT,-15,141,126,25.990,0.2063,43.7
deep,DOGE/USDT,-15,141,131,13.483,0.1029,38.9
deep,ADA/USDT,-15,141,133,25.985,0.1954,42.1
deep,AVAX/USDT,-15,141,136,-0.845,-0.0062,35.3
deep,LINK/USDT,-15,141,141,26.212,0.1859,41.8
deep,SUI/USDT,-15,141,122,17.319,0.1420,40.2
deep,TON/USDT,-15,141,133,17.058,0.1283,39.8
deep,NEAR/USDT,-15,141,142,6.536,0.0460,36.6
deep,APT/USDT,-15,141,135,-1.483,-0.0110,34.8
deep,LTC/USDT,-15,141,123,32.359,0.2631,44.7
deep,H1,-15,141,928,129.260,0.1393,40.0
deep,H2,-15,141,933,135.805,0.1456,40.9
deep,all,-15,161,1861,240.730,0.1294,35.5
deep,15m,-15,161,547,29.113,0.0532,34.0
deep,30m,-15,161,625,122.873,0.1966,37.4
deep,1h,-15,161,689,88.744,0.1288,35.0
deep,BTC/USDT,-15,161,141,48.002,0.3404,42.6
deep,ETH/USDT,-15,161,114,16.900,0.1482,36.0
deep,SOL/USDT,-15,161,143,36.051,0.2521,39.2
deep,XRP/USDT,-15,161,141,10.036,0.0712,34.0
deep,BNB/USDT,-15,161,126,19.846,0.1575,37.3
deep,DOGE/USDT,-15,161,131,19.325,0.1475,35.9
deep,ADA/USDT,-15,161,133,16.897,0.1270,35.3
deep,AVAX/USDT,-15,161,136,0.542,0.0040,31.6
deep,LINK/USDT,-15,161,141,35.095,0.2489,39.0
deep,SUI/USDT,-15,161,122,9.049,0.0742,33.6
deep,TON/USDT,-15,161,133,16.990,0.1277,35.3
deep,NEAR/USDT,-15,161,142,-0.501,-0.0035,31.0
deep,APT/USDT,-15,161,135,-7.104,-0.0526,29.6
deep,LTC/USDT,-15,161,123,19.601,0.1594,36.6
deep,H1,-15,161,928,108.726,0.1172,34.8
deep,H2,-15,161,933,132.004,0.1415,36.2
deep,all,-15,200,1861,248.775,0.1337,29.2
deep,15m,-15,200,547,55.201,0.1009,29.1
deep,30m,-15,200,625,123.188,0.1971,30.7
deep,1h,-15,200,689,70.386,0.1022,28.0
deep,BTC/USDT,-15,200,141,30.525,0.2165,31.9
deep,ETH/USDT,-15,200,114,18.448,0.1618,29.8
deep,SOL/USDT,-15,200,143,40.540,0.2835,32.9
deep,XRP/USDT,-15,200,141,8.649,0.0613,27.7
deep,BNB/USDT,-15,200,126,21.642,0.1718,31.0
deep,DOGE/USDT,-15,200,131,29.374,0.2242,31.3
deep,ADA/USDT,-15,200,133,26.894,0.2022,30.8
deep,AVAX/USDT,-15,200,136,15.825,0.1164,28.7
deep,LINK/USDT,-15,200,141,42.813,0.3036,33.3
deep,SUI/USDT,-15,200,122,-5.755,-0.0472,24.6
deep,TON/USDT,-15,200,133,14.870,0.1118,28.6
deep,NEAR/USDT,-15,200,142,7.416,0.0522,26.8
deep,APT/USDT,-15,200,135,-22.457,-0.1663,21.5
deep,LTC/USDT,-15,200,123,19.992,0.1625,30.1
deep,H1,-15,200,928,81.112,0.0874,27.8
deep,H2,-15,200,933,167.663,0.1797,30.7
deep,all,-15,241,1861,309.837,0.1665,25.3
deep,15m,-15,241,547,66.140,0.1209,24.9
deep,30m,-15,241,625,164.607,0.2634,27.2
deep,1h,-15,241,689,79.090,0.1148,23.8
deep,BTC/USDT,-15,241,141,55.527,0.3938,30.5
deep,ETH/USDT,-15,241,114,39.812,0.3492,28.9
deep,SOL/USDT,-15,241,143,28.439,0.1989,25.9
deep,XRP/USDT,-15,241,141,9.566,0.0678,23.4
deep,BNB/USDT,-15,241,126,27.415,0.2176,27.0
deep,DOGE/USDT,-15,241,131,36.856,0.2813,27.5
deep,ADA/USDT,-15,241,133,29.475,0.2216,26.3
deep,AVAX/USDT,-15,241,136,36.170,0.2660,27.2
deep,LINK/USDT,-15,241,141,59.724,0.4236,30.5
deep,SUI/USDT,-15,241,122,-11.678,-0.0957,19.7
deep,TON/USDT,-15,241,133,-4.272,-0.0321,21.1
deep,NEAR/USDT,-15,241,142,12.508,0.0881,23.2
deep,APT/USDT,-15,241,135,-14.610,-0.1082,19.3
deep,LTC/USDT,-15,241,123,4.906,0.0399,22.8
deep,H1,-15,241,928,130.084,0.1402,24.5
deep,H2,-15,241,933,179.752,0.1927,26.0
deep,all,0,50,1861,379.745,0.2041,94.9
deep,15m,0,50,547,109.662,0.2005,96.2
deep,30m,0,50,625,124.347,0.1990,94.4
deep,1h,0,50,689,145.736,0.2115,94.3
deep,BTC/USDT,0,50,141,25.983,0.1843,95.0
deep,ETH/USDT,0,50,114,27.535,0.2415,97.4
deep,SOL/USDT,0,50,143,28.557,0.1997,94.4
deep,XRP/USDT,0,50,141,26.341,0.1868,94.3
deep,BNB/USDT,0,50,126,23.105,0.1834,95.2
deep,DOGE/USDT,0,50,131,31.098,0.2374,96.9
deep,ADA/USDT,0,50,133,23.240,0.1747,92.5
deep,AVAX/USDT,0,50,136,32.388,0.2381,97.1
deep,LINK/USDT,0,50,141,26.651,0.1890,93.6
deep,SUI/USDT,0,50,122,28.666,0.2350,96.7
deep,TON/USDT,0,50,133,20.756,0.1561,91.0
deep,NEAR/USDT,0,50,142,27.440,0.1932,93.0
deep,APT/USDT,0,50,135,33.049,0.2448,97.0
deep,LTC/USDT,0,50,123,24.936,0.2027,95.1
deep,H1,0,50,928,182.731,0.1969,93.6
deep,H2,0,50,933,197.014,0.2112,96.1
deep,all,0,61.8,1861,525.504,0.2824,81.9
deep,15m,0,61.8,547,163.826,0.2995,84.3
deep,30m,0,61.8,625,180.830,0.2893,82.2
deep,1h,0,61.8,689,180.848,0.2625,79.7
deep,BTC/USDT,0,61.8,141,39.111,0.2774,83.0
deep,ETH/USDT,0,61.8,114,48.599,0.4263,90.4
deep,SOL/USDT,0,61.8,143,43.753,0.3060,83.2
deep,XRP/USDT,0,61.8,141,39.328,0.2789,82.3
deep,BNB/USDT,0,61.8,126,31.647,0.2512,81.7
deep,DOGE/USDT,0,61.8,131,30.791,0.2350,78.6
deep,ADA/USDT,0,61.8,133,23.307,0.1752,75.2
deep,AVAX/USDT,0,61.8,136,45.058,0.3313,84.6
deep,LINK/USDT,0,61.8,141,32.655,0.2316,78.7
deep,SUI/USDT,0,61.8,122,42.062,0.3448,85.2
deep,TON/USDT,0,61.8,133,36.772,0.2765,81.2
deep,NEAR/USDT,0,61.8,142,32.173,0.2266,77.5
deep,APT/USDT,0,61.8,135,40.619,0.3009,82.2
deep,LTC/USDT,0,61.8,123,39.628,0.3222,84.6
deep,H1,0,61.8,928,255.114,0.2749,80.8
