symbol,timeframe,scenario,entryAt,direction,bigbar,touchStatus,touchNetR,closeStatus,closeNetR,confirmStatus,confirmNetR
BTC/USDT,15m,ote,1770825600000,short,false,entered,0.2575580690524458,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1770844500000,short,false,entered,1.5873294300398415,entered,2.3689190383462946,entered,1.6044784043538567
BTC/USDT,15m,ote,1770936300000,short,false,entered,-1.0291656235194089,entered,-1.0444045887119568,entered,-1.043378729281768
BTC/USDT,15m,ote,1771144200000,long,false,entered,0.24656067187255418,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1771159500000,long,true,entered,-1.1170946382026181,entered,-1.7996206270627253,entered,-1.314164486888952
BTC/USDT,15m,ote,1771244100000,short,false,entered,0.2523781904537384,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1771244100000,short,false,entered,0.2564610259592444,entered,0.46701734756304225,entered,0.40771810058051783
BTC/USDT,15m,deep,1771246800000,short,false,entered,1.5850721633611606,entered,0.6507416507305096,entered,0.6507416507305096
BTC/USDT,15m,ote,1771274700000,short,false,entered,0.2555760256269649,entered,0.26076020599250205,entered,0.2553562558269598
BTC/USDT,15m,ote,1771344000000,short,false,entered,0.25491314052730757,entered,0.26292586763253595,entered,0.11285619124985269
BTC/USDT,15m,ote,1771344000000,short,false,entered,0.2639458409230494,entered,0.25577320344443116,entered,0.18087019485625805
BTC/USDT,15m,ote,1771599600000,short,false,entered,0.2438665644122461,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1771599600000,short,false,entered,1.5591579047854296,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1771839000000,short,false,entered,0.26141147348682225,entered,0.24284969254735186,entered,0.2614555795955772
BTC/USDT,15m,ote,1771839900000,short,false,entered,0.2665558713682369,entered,0.27046507000898473,entered,0.24558750563922047
BTC/USDT,15m,ote,1771871400000,short,false,entered,0.25530893357288253,entered,0.09946646863533018,missed-tp,0
BTC/USDT,15m,deep,1771981200000,short,false,entered,1.5827016277180095,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1772062200000,long,false,entered,0.2670212844867228,entered,0.2470341627756891,entered,0.18359995856453115
BTC/USDT,15m,ote,1772304300000,short,false,entered,-1.0149842395175914,entered,-1.0230514784294715,entered,-1.0222075736325384
BTC/USDT,15m,ote,1772971200000,long,true,entered,0.23621994632674667,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1772972100000,long,false,entered,1.5438473241173067,entered,0.0071649321266968255,entered,0.0071649321266968255
BTC/USDT,15m,ote,1773034200000,short,false,entered,-1.0107038386664124,entered,-1.0161465263671081,entered,-1.0160827065356408
BTC/USDT,15m,deep,1773026100000,short,false,entered,-1.0842935121665978,entered,-1.096223164415557,entered,-1.096223164415557
BTC/USDT,15m,ote,1773229500000,long,false,entered,0.244022003557035,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1773145800000,long,false,entered,0.24280338120144757,entered,0.07055805403397433,entered,0.07055805403397433
BTC/USDT,15m,deep,1773149400000,long,false,entered,1.557393344566347,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1773612000000,long,false,entered,0.21833669670696929,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1774263600000,short,true,entered,-1.0535134895652807,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1774263600000,short,true,entered,-1.1103204261735873,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1774263600000,short,false,entered,0.2677598229309363,entered,0.5266143790333726,entered,0.45271140845070207
BTC/USDT,15m,deep,1774263600000,short,true,entered,-1.0532940699778768,entered,-1.242670077972713,entered,-1.1487524614693994
BTC/USDT,15m,ote,1774280700000,long,false,entered,0.2633372267866603,entered,0.41485421378280396,entered,0.24498062083424627
BTC/USDT,15m,ote,1774809000000,short,false,entered,0.21695272611781002,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1774815300000,short,false,entered,1.5037802165670289,entered,0.7716965938303602,entered,0.3033096431103648
BTC/USDT,15m,ote,1775514600000,long,false,entered,0.26153303382802817,entered,0.23389587593468666,entered,0.4866254481110363
BTC/USDT,15m,ote,1775592000000,short,false,entered,0.22294883151929834,missed-tp,0,missed-tp,0
