time,open,high,low,close,GGI Mean,GGI Upper Outer,GGI Upper Inner,GGI Lower Inner,GGI Lower Outer,Shapes,Shapes,Volume
2026-07-23T08:33:00+05:00,7494.32,7495.08,7494.07,7494.57,7501.111028379436,7514.4851623344475,7508.909711071087,7493.320445325957,7487.760697446878,0,0,96
2026-07-23T08:34:00+05:00,7494.58,7495.08,7493.57,7494.57,7500.924844323409,7514.327297786597,7508.740034386112,7493.1177884077715,7487.546295296601,0,0,93
2026-07-23T08:35:00+05:00,7494.58,7495.08,7494.07,7495.07,7500.740783057453,7514.166748888413,7508.569678389376,7492.920050612037,7487.338806121671,0,0,92
2026-07-23T08:36:00+05:00,7495.08,7495.83,7495.07,7495.58,7500.559657747316,7514.002193087341,7508.398211351611,7492.72928736944,7487.141171076925,0,0,78
2026-07-23T08:37:00+05:00,7495.58,7496.33,7495.07,7495.08,7500.381515623844,7513.838608060655,7508.228554461828,7492.542677923863,7486.948524494807,0,0,60
2026-07-23T08:38:00+05:00,7495.07,7496.32,7495.07,7495.82,7500.206634007997,7513.676252185159,7508.060974001495,7492.360510604235,7486.761162547802,0,0,66
2026-07-23T08:39:00+05:00,7495.83,7496.83,7495.82,7496.57,7500.035687050594,7513.513647002295,7507.894889374553,7492.1847116746785,7486.581904256611,0,0,65
2026-07-23T08:40:00+05:00,7496.83,7497.33,7496.07,7496.57,7499.868910110398,7513.353523671976,7507.731990738181,7492.0140647308945,7486.4084980990765,0,0,69
2026-07-23T08:41:00+05:00,7496.83,7497.83,7496.57,7497.32,7499.706846135376,7513.196492415646,7507.5728602551635,7491.8490735843725,7486.241419979915,0,0,69
2026-07-23T08:42:00+05:00,7497.33,7497.33,7496.32,7496.33,7499.548886554116,7513.039688240228,7507.4155740941205,7491.690442166796,7486.082309647544,0,0,56
2026-07-23T08:43:00+05:00,7496.33,7497.58,7496.32,7497.58,7499.395488170148,7512.886057861794,7507.262040421124,7491.537178956913,7485.929142920243,0,0,53
2026-07-23T08:44:00+05:00,7497.32,7498.83,7497.32,7498.57,7499.24764342157,7512.738975631517,7507.114640083863,7491.388890890271,7485.7805388661955,0,0,49
2026-07-23T08:45:00+05:00,7498.57,7499.08,7498.32,7498.82,7499.1057361657195,7512.591818221578,7506.969672474785,7491.25003773385,7485.643863385915,0,0,47
2026-07-23T08:46:00+05:00,7498.83,7499.08,7496.82,7497.08,7498.968602544776,7512.457614174772,7506.834246439225,7491.111200254156,7485.50381114258,0,0,45
2026-07-23T08:47:00+05:00,7497.08,7498.58,7496.82,7498.08,7498.836328244096,7512.331449083638,7506.705533123967,7490.97537257357,7485.3654499832655,0,0,55
2026-07-23T08:48:00+05:00,7498.07,7499.33,7497.82,7499.33,7498.709794955686,7512.211739369713,7506.5829772225925,7490.8448703739605,7485.232118028956,0,0,47
2026-07-23T08:49:00+05:00,7499.32,7499.33,7498.82,7499.33,7498.589196889571,7512.089358479961,7506.461339907773,7490.7253095104625,7485.113296773488,0,0,42
2026-07-23T08:50:00+05:00,7499.33,7499.33,7498.57,7499.08,7498.474231474358,7511.966700443573,7506.341890446013,7490.614818870721,7485.005996733827,0,0,50
2026-07-23T08:51:00+05:00,7499.08,7499.08,7497.82,7498.07,7498.364118025027,7511.847890006752,7506.226707508288,7490.509764412568,7484.904549423019,0,0,58
2026-07-23T08:52:00+05:00,7498.07,7499.33,7498.07,7499.33,7498.2593181155835,7511.733441453055,7506.116283392239,7490.410577052494,7484.809363899811,0,0,40
2026-07-23T08:53:00+05:00,7499.33,7499.83,7499.07,7499.57,7498.160261631815,7511.619194355505,7506.0083723009075,7490.320356767728,7484.725443931182,0,0,30
2026-07-23T08:54:00+05:00,7499.32,7499.83,7499.32,7499.32,7498.066794439787,7511.502929835574,7505.901616556089,7490.24015047992,7484.6546928140815,0,0,39
2026-07-23T08:55:00+05:00,7499.32,7499.58,7498.82,7498.82,7497.978361591184,7511.386765774661,7505.797019183059,7490.1678485582925,7484.593892442388,0,0,48
2026-07-23T08:56:00+05:00,7499.08,7499.33,7498.32,7498.32,7497.894427400749,7511.272728008306,7505.695537594192,7490.101425359302,7484.539954835872,0,0,42
2026-07-23T08:57:00+05:00,7498.32,7498.83,7498.32,7498.33,7497.814719642076,7511.156035472893,7505.594271348927,7490.043231443933,7484.497100657292,0,0,28
2026-07-23T08:58:00+05:00,7498.07,7498.83,7497.82,7498.82,7497.739128279472,7511.04155449292,7505.496011120811,7489.99026212768,7484.460261321006,0,0,47
2026-07-23T08:59:00+05:00,7498.82,7498.83,7497.32,7497.83,7497.667067924657,7510.933460801057,7505.402946790082,7489.939162491472,7484.4241071796805,0,0,54
2026-07-23T09:00:00+05:00,7497.83,7497.83,7495.32,7495.83,7497.596845733337,7510.839256336508,7505.31874520448,7489.882890992255,7484.377782912299,0,0,56
2026-07-23T09:01:00+05:00,7495.58,7496.33,7495.57,7495.83,7497.528047313249,7510.741778287062,7505.23322925786,7489.83077582618,7484.337563402297,0,0,47
2026-07-23T09:02:00+05:00,7495.82,7496.08,7495.07,7496.07,7497.460513058166,7510.643420433275,7505.147727716769,7489.781172097904,7484.30074471884,0,0,56
