id,symbol,timeframe,scenario,direction,entryAt,exitAt,netR,status,equityBefore,equityAfter,pnl,openRiskPct
BTC/USDT|4h|deep|270:low:108:7700.67:structural|281,BTC/USDT,4h,deep,short,1572004800000,1572019200000,-1.0289205658290785,accepted,10000,9948.553971708547,-51.44602829145393,0.5
BTC/USDT|4h|deep|270:low:108:7700.67:structural|281,BTC/USDT,4h,deep,short,1572004800000,1572019200000,-1.0289205658290785,accepted,10000,9897.107943417093,-51.44602829145393,1
BTC/USDT|4h|ote|270:low:108:7700.67:structural|281,BTC/USDT,4h,ote,short,1572004800000,1572019200000,-1.0136957457337252,accepted,10000,9846.423156130408,-50.68478728668626,1.5
BTC/USDT|4h|ote|270:low:108:7700.67:structural|281,BTC/USDT,4h,ote,short,1572004800000,1572019200000,-1.0136957457337252,accepted,10000,9795.738368843722,-50.68478728668626,2
BTC/USDT|4h|breaker|366:low:311:8975.72:structural|378,BTC/USDT,4h,breaker,short,1573401600000,1574092800000,0.8916995775579852,accepted,9795.738368843722,9839.412647670555,43.67427882683247,0.5
BTC/USDT|4h|breaker161|366:low:311:8975.72:structural|378,BTC/USDT,4h,breaker161,short,1573401600000,1574092800000,0.8916995775579852,accepted,9795.738368843722,9883.086926497388,43.67427882683247,1
BTC/USDT|4h|breaker|582:low:520:7070:structural|607,BTC/USDT,4h,breaker,short,1576699200000,1578340800000,-1.014258904109589,accepted,9883.086926497388,9782.423979743031,-50.12004457644524,0.5
BTC/USDT|4h|breaker161|697:low:658:7078.89:structural|699,BTC/USDT,4h,breaker161,short,1578024000000,1578268800000,-1.0228161009573542,accepted,9883.086926497388,9832.544024319475,-50.5429021779133,1
ETH/USDT|4h|breaker|118:low:89:139.05:structural|239,ETH/USDT,4h,breaker,short,1578268800000,1578441600000,0.17832250000000094,accepted,9832.544024319475,9791.190798901915,8.766819158883594,1
ETH/USDT|4h|breaker|118:low:89:139.05:structural|239,ETH/USDT,4h,breaker,short,1578268800000,1579003200000,-1.011308719346049,accepted,9832.544024319475,9741.472111376173,-49.718687525740876,1.5
ETH/USDT|4h|breaker|240:high:196:138.25:structural|255,ETH/USDT,4h,breaker,long,1578499200000,1579003200000,0.8962410705693657,accepted,9791.190798901915,9785.348447994957,43.876336618783874,1
ETH/USDT|4h|breaker|240:high:196:138.25:structural|255,ETH/USDT,4h,breaker,long,1578499200000,1579017600000,0.9021055381165917,accepted,9791.190798901915,9829.511885217185,44.16343722222816,1.5
ETH/USDT|4h|breaker161|240:high:196:138.25:structural|255,ETH/USDT,4h,breaker161,long,1578499200000,1579017600000,0.9021055381165917,accepted,9791.190798901915,9873.675322439414,44.16343722222816,2
BTC/USDT|4h|ote|729:high:438:8230:structural|733,BTC/USDT,4h,ote,long,1578513600000,1581220800000,1.4204426138491388,capacity-rejected,9791.190798901915,9791.190798901915,0,2
BTC/USDT|4h|breaker161|723:high:492:7850:structural|738,BTC/USDT,4h,breaker161,long,1578585600000,1580990400000,0.9029251827125792,capacity-rejected,9791.190798901915,9791.190798901915,0,2
BTC/USDT|4h|ote|729:high:438:8230:structural|738,BTC/USDT,4h,ote,long,1578585600000,1584000000000,0.3895524187140745,capacity-rejected,9791.190798901915,9791.190798901915,0,2
ETH/USDT|4h|ote|240:high:196:138.25:structural|261,ETH/USDT,4h,ote,long,1578585600000,1579003200000,1.412711031258733,capacity-rejected,9791.190798901915,9791.190798901915,0,2
BTC/USDT|4h|breaker|722:high:551:7676.48:structural|742,BTC/USDT,4h,breaker,long,1578643200000,1580256000000,0.9021725122450939,capacity-rejected,9791.190798901915,9791.190798901915,0,2
BTC/USDT|4h|breaker|722:high:551:7676.48:structural|742,BTC/USDT,4h,breaker,long,1578643200000,1579017600000,0.8982149596575812,capacity-rejected,9791.190798901915,9791.190798901915,0,2
ETH/USDT|4h|breaker|315:high:293:172.18:structural|319,ETH/USDT,4h,breaker,long,1579420800000,1579824000000,-1.0168310545454544,accepted,9873.675322439414,9823.476023987636,-50.199298451777494,0.5
ETH/USDT|4h|breaker161|315:high:293:172.18:structural|319,ETH/USDT,4h,breaker161,long,1579420800000,1579824000000,-1.0168310545454544,accepted,9873.675322439414,9773.276725535858,-50.199298451777494,1
ETH/USDT|4h|ote|315:high:293:172.18:structural|319,ETH/USDT,4h,ote,long,1579420800000,1579824000000,-1.0212229701596114,accepted,9873.675322439414,9722.86060533999,-50.416120195866185,1.5
ETH/USDT|4h|deep|315:high:293:172.18:structural|320,ETH/USDT,4h,deep,long,1579435200000,1579824000000,-1.0429278914802476,accepted,9873.675322439414,9671.37294841403,-51.48765692596145,2
BTC/USDT|4h|breaker161|765:high:728:8468.42:structural|799,BTC/USDT,4h,breaker161,long,1579464000000,1584000000000,0.19803825814028855,capacity-rejected,9873.675322439414,9873.675322439414,0,2
ETH/USDT|4h|ote|315:high:293:172.18:structural|345,ETH/USDT,4h,ote,long,1579795200000,1581480000000,1.4249622394210624,capacity-rejected,9873.675322439414,9873.675322439414,0,2
ETH/USDT|4h|breaker|348:low:320:161.81:structural|350,ETH/USDT,4h,breaker,short,1579867200000,1580140800000,-1.0238157142857143,accepted,9671.37294841403,9621.864430397509,-49.50851801652021,0.5
