month,trades,totalR,pnl,returnPct
2019-10,4,-4.0852326231256075,-204.26163115628037,-2.0426163115628038
2019-11,2,1.7833991551159705,87.34855765366494,0.8916995775579852
2020-01,16,-9.394759714145096,-459.3968853645188,-4.648313717982558
2020-02,10,2.3263247954551494,107.84984614561337,1.1444545148966743
2020-03,9,-7.849920738260265,-369.9370214881488,-3.8652884249521375
2020-07,7,-2.7216772133551066,-125.19711714969364,-1.366541630146216
2020-08,9,-0.26992129051577696,-13.34619276646928,-0.14686483336244663
2020-09,4,-0.20972559738955288,-10.015879670636863,-0.11146836477621959
2020-10,4,-0.8103431389924275,-36.776118707894696,-0.408032181237421
2020-11,5,1.1581956642023514,52.14948598727692,0.5779579051246173
2021-01,5,5.038932732435697,228.9690695452401,2.5360931871276327
2021-02,10,8.700578933146094,405.09191297358166,4.449456159131804
2021-03,2,1.10080969791019,52.74230467565164,0.551914620222031
2021-04,12,8.182487385631244,398.5794412101109,4.152158146652795
2021-05,13,-4.480833288864003,-225.97323431589388,-2.267271015571878
2021-08,3,8.891222594563468,450.7470552111258,4.457550736597909
2021-11,8,0.7236006597941462,36.26558094090714,0.36507830325485274
2021-12,2,2.72987883656665,141.9648237284078,1.3618164211566757
2022-01,6,-6.053575757414442,-315.2832963498153,-3.01919551869436
2022-02,2,0.3924547856292174,20.01817809921548,0.19622739281460866
2022-03,1,0.39123924585320424,19.99533581278989,0.1956196229266021
2022-04,2,0.3033535478178506,15.194969935715477,0.14836614921853644
2022-05,3,2.7138960303356914,138.94875251009128,1.3594343781598954
2022-06,7,-2.754281222837067,-144.14461547125362,-1.386582157877741
2022-09,1,0.20068802631578941,10.286799945502386,0.10034401315789472
2022-10,3,-1.1499408786755616,-59.206378166837105,-0.5769578638421611
2023-10,4,2.2008989298582766,112.55971501285472,1.0979793117525398
2023-11,3,6.6650020888283565,345.5692124745727,3.3501056851392375
2023-12,7,2.45438872022126,129.0920945282724,1.2652845414943983
2024-02,3,0.7670742958543908,40.876468032202304,0.37884239119055135
2024-03,6,12.02306734712453,663.1797711700433,6.123141471074231
2024-04,4,-2.662716777906276,-152.76294725218747,-1.3350007783977353
2024-05,7,-2.852548574472178,-161.59570063495343,-1.424864438637263
2024-06,2,1.0741929517997626,58.732855343720715,0.5939915624586314
2024-08,4,2.1773456464323107,122.71889431346338,1.0919736453416342
2024-09,3,-1.8287494894897103,-103.98611455035868,-0.9152914357879149
2024-10,11,1.3697732582345472,75.93079074895984,0.6756819970098025
2024-11,16,10.018919246552453,573.156220983288,5.369395289369251
2024-12,3,0.7852353517402727,46.307943361464005,0.39279582737553775
2025-01,5,-1.521820242860676,-91.3199752900001,-0.764030899022929
2025-02,3,4.2746400994012665,254.4112997292193,2.1335374812709347
2025-03,1,0.20256568181818183,12.058821133038974,0.1012828409090909
2025-04,1,0.8978629763663226,54.444359686880205,0.4489314881831613
2025-05,3,-0.43443715595785815,-26.616159530907737,-0.21848782585405607
2025-06,14,-3.9289563911681253,-239.08761844608307,-1.9669297850509642
2025-07,2,-0.20996459457666794,-12.808767334314695,-0.10748961407856998
2025-08,8,0.603691129029085,35.73613178787748,0.2949624710523519
2025-09,1,0.898007073732719,53.60747983920377,0.44900353686635963
2025-10,17,-6.72518920565065,-401.98449242012805,-3.317939946963935
2026-02,8,0.7620906169231245,41.896391460303356,0.36146140445703795
2026-03,10,-0.46052082225073154,-28.775222377922965,-0.24383453491595486
2026-04,6,-1.9814374284797251,-115.04526585611441,-0.9748667977568857
2026-05,10,7.003824432814347,406.645884106746,3.520992762336735
2026-06,32,1.2315289186805334,65.22718763951613,0.5607212176005487
2026-07,25,18.87635497667616,1165.530746148774,9.923030987867039
