dimension,key,trades,totalR,expectancyR,winRate
symbol,BTC/USDT,30,3.1455462224446618,0.10485154074815539,0.6
symbol,ETH/USDT,34,-7.031575341560887,-0.20681103945767315,0.4411764705882353
symbol,XRP/USDT,22,2.6214042278141445,0.11915473762791566,0.6363636363636364
symbol,LTC/USDT,25,0.6764735429297228,0.027058941717188912,0.6
symbol,ADA/USDT,58,30.143776650604245,0.5197202870793836,0.7241379310344828
symbol,LINK/USDT,26,-7.827452923496182,-0.30105588167293007,0.5384615384615384
symbol,BNB/USDT,42,1.6803299465077401,0.04000785586923191,0.5952380952380952
symbol,DOGE/USDT,17,-0.7563021852133691,-0.044488363836080534,0.6470588235294118
symbol,AVAX/USDT,21,13.438101627850587,0.6399096013262184,0.6666666666666666
symbol,NEAR/USDT,32,1.932872079040664,0.06040225247002075,0.5625
symbol,SOL/USDT,10,3.0404439099914162,0.3040443909991416,0.7
symbol,APT/USDT,26,2.8823552950172946,0.11085981903912671,0.6153846153846154
symbol,SUI/USDT,18,14.703818527954207,0.8168788071085671,0.8888888888888888
symbol,TON/USDT,8,-2.112817893411135,-0.2641022366763919,0.5
scenario,deep,65,5.947308910752069,0.09149706016541645,0.2923076923076923
scenario,ote,76,6.539734028937392,0.08604913195970253,0.5394736842105263
scenario,breaker,177,33.98087398518594,0.19198233889935556,0.7344632768361582
scenario,breaker161,51,10.069056761597713,0.1974324855215238,0.7647058823529411
direction,short,148,18.999691968777334,0.12837629708633333,0.6283783783783784
direction,long,221,37.53728171769578,0.16985195347373655,0.6153846153846154
