id,symbol,timeframe,scenario,direction,entryAt,exitAt,netR,status,equityBefore,equityAfter,pnl,openRiskPct
ADA/USDT|4h|ote|9699:low:9670:0.3782:structural|9735,ADA/USDT,4h,ote,short,1720641600000,1720843200000,-1.0159517814513366,capacity-rejected,9927.119550032385,9927.119550032385,0,1.5
BNB/USDT|4h|ote|9641:low:9147:489:structural|9679,BNB/USDT,4h,ote,short,1720699200000,1733256000000,-1.004800181441668,capacity-rejected,9927.119550032385,9927.119550032385,0,1.5
ADA/USDT|4h|deep|9699:low:9670:0.3782:structural|9745,ADA/USDT,4h,deep,short,1720785600000,1720843200000,-1.0335625660229073,capacity-rejected,9927.119550032385,9927.119550032385,0,1.5
ADA/USDT|4h|deep|9701:low:8258:0.3337:structural|9751,ADA/USDT,4h,deep,short,1720872000000,1731182400000,-1.0107595951000905,capacity-rejected,9927.119550032385,9927.119550032385,0,1.5
DOGE/USDT|4h|deep|8730:low:8632:0.11309:structural|8799,DOGE/USDT,4h,deep,short,1721073600000,1721448000000,-1.0286602697974248,capacity-rejected,9927.119550032385,9927.119550032385,0,1.5
AVAX/USDT|1h|ote|2563:high:2228:28.828:structural|2592,AVAX/USDT,1h,ote,long,1721253600000,1721869200000,0.39034850896351864,capacity-rejected,9927.119550032385,9927.119550032385,0,1.5
LTC/USDT|1h|ote|2635:high:2607:72.91:structural|2684,LTC/USDT,1h,ote,long,1721584800000,1721656800000,0.36067029588801247,accepted,9877.120186558348,9894.932105859385,17.8119193010373,1.5
LTC/USDT|1h|deep|2690:high:2659:73.86:structural|2704,LTC/USDT,1h,deep,long,1721656800000,1721685600000,-1.0969210931009838,accepted,9894.932105859385,9840.66230715079,-54.26979870859648,1.5
LTC/USDT|1h|breaker|2705:low:2673:72.36:structural|2710,LTC/USDT,1h,breaker,short,1721678400000,1721696400000,0.1627295270270278,capacity-rejected,9894.932105859385,9894.932105859385,0,1.5
ADA/USDT|1h|deep|2689:high:2639:0.4427:structural|2711,ADA/USDT,1h,deep,long,1721682000000,1721739600000,-1.0582600118541934,capacity-rejected,9894.932105859385,9894.932105859385,0,1.5
LTC/USDT|1h|ote|2705:low:2673:72.36:structural|2728,LTC/USDT,1h,ote,short,1721743200000,1721775600000,0.3428814593219211,accepted,9840.66230715079,9857.53321041364,16.87090326285043,1.5
XRP/USDT|1h|deep|2717:high:2663:0.6045:structural|2745,XRP/USDT,1h,deep,long,1721750400000,1721937600000,1.2848290789452887,capacity-rejected,9840.66230715079,9840.66230715079,0,1.5
LTC/USDT|1h|deep|2746:high:2715:72.82:structural|2759,LTC/USDT,1h,deep,long,1721854800000,1721869200000,-1.105522713148598,accepted,9857.53321041364,9803.044576114995,-54.488634298644484,1.5
BNB/USDT|1h|deep|2760:low:2719:577.47:structural|2813,BNB/USDT,1h,deep,short,1722049200000,1722085200000,-1.1778725412141398,accepted,9803.044576114995,9745.310890982475,-57.73368513252029,1.5
LTC/USDT|1h|deep|2764:low:2492:69.37:structural|2823,LTC/USDT,1h,deep,short,1722085200000,1722229200000,-1.0626446402674337,accepted,9745.310890982475,9693.531879052263,-51.77901193021188,1.5
NEAR/USDT|1h|ote|2774:high:2739:5.727:structural|2802,NEAR/USDT,1h,ote,long,1722110400000,1722358800000,-1.015976962223527,capacity-rejected,9745.310890982475,9745.310890982475,0,1.5
TON/USDT|1h|deep|2834:high:2790:6.7376:structural|2853,TON/USDT,1h,deep,long,1722297600000,1722574800000,1.249740896757838,accepted,9693.531879052263,9754.103895168651,60.57201611638733,1.5
BNB/USDT|1h|deep|2883:low:2830:573.04:structural|2905,BNB/USDT,1h,deep,short,1722380400000,1722643200000,3.926882799131662,capacity-rejected,9693.531879052263,9693.531879052263,0,1.5
XRP/USDT|1h|deep|2923:high:221:0.6439:structural|2949,XRP/USDT,1h,deep,long,1722484800000,1722524400000,-1.0355317005884714,capacity-rejected,9693.531879052263,9693.531879052263,0,1.5
AVAX/USDT|4h|deep|8384:high:8355:29.241:structural|8450,AVAX/USDT,4h,deep,long,1722513600000,1722772800000,-1.0113754998623317,capacity-rejected,9693.531879052263,9693.531879052263,0,1.5
ADA/USDT|4h|ote|9866:low:9825:0.3812:structural|9867,ADA/USDT,4h,ote,short,1722542400000,1722816000000,1.4182637460357932,capacity-rejected,9693.531879052263,9693.531879052263,0,1.5
XRP/USDT|4h|deep|10020:low:9975:0.5837:structural|10053,XRP/USDT,4h,deep,short,1723060800000,1723060800000,1.3174918434091771,accepted,9825.544208416453,9890.269580174678,64.72537175822478,1
ADA/USDT|4h|ote|9887:low:9701:0.3158:structural|9909,ADA/USDT,4h,ote,short,1723147200000,1731081600000,-1.0050818364768948,accepted,9890.269580174678,10425.619650614857,-49.70265156446766,1
SUI/USDT|4h|deep|2690:low:2652:0.7852:structural|2779,SUI/USDT,4h,deep,short,1723147200000,1723291200000,-1.0275816565821236,accepted,9890.269580174678,9839.45428217848,-50.815297996198396,1.5
TON/USDT|4h|deep|925:low:878:6.4508:structural|966,TON/USDT,4h,deep,short,1723204800000,1723608000000,1.2939066903618006,capacity-rejected,9890.269580174678,9890.269580174678,0,1.5
TON/USDT|4h|ote|925:low:878:6.4508:structural|966,TON/USDT,4h,ote,short,1723204800000,1723449600000,0.37238747546845574,capacity-rejected,9890.269580174678,9890.269580174678,0,1.5
TON/USDT|4h|breaker|857:low:789:7.107:structural|995,TON/USDT,4h,breaker,short,1723622400000,1723622400000,0.1881313390889053,accepted,9839.45428217848,9848.70983072853,9.255548550051504,1.5
NEAR/USDT|1h|ote|3207:high:3180:4.125:structural|3245,NEAR/USDT,1h,ote,long,1723705200000,1723820400000,-1.023409923664122,accepted,9848.70983072853,9798.31349384825,-50.396336880279875,1.5
APT/USDT|1h|deep|3207:high:3178:6.844:structural|3252,APT/USDT,1h,deep,long,1723734000000,1723744800000,-1.0329702110742736,capacity-rejected,9848.70983072853,9848.70983072853,0,1.5
NEAR/USDT|1h|deep|3207:high:3180:4.125:structural|3257,NEAR/USDT,1h,deep,long,1723748400000,1723820400000,-1.0474277486910994,capacity-rejected,9848.70983072853,9848.70983072853,0,1.5
ADA/USDT|1h|ote|3284:low:3228:0.3302:structural|3297,ADA/USDT,1h,ote,short,1723791600000,1723827600000,0.36109617156446955,capacity-rejected,9848.70983072853,9848.70983072853,0,1.5
ADA/USDT|1h|deep|3284:low:3228:0.3302:structural|3299,ADA/USDT,1h,deep,short,1723798800000,1723982400000,1.2706737980357967,capacity-rejected,9848.70983072853,9848.70983072853,0,1.5
ADA/USDT|1h|deep|3300:high:3268:0.3417:structural|3302,ADA/USDT,1h,deep,long,1723809600000,1724259600000,3.950246771378702,capacity-rejected,9848.70983072853,9848.70983072853,0,1.5
