id,symbol,timeframe,scenario,direction,entryAt,exitAt,netR,status,equityBefore,equityAfter,pnl,openRiskPct
XRP/USDT|4h|breaker|107:low:85:0.2236:structural|109,XRP/USDT,4h,breaker,short,1579867200000,1580270400000,-1.0173510638297871,accepted,10000,9898.26489361702,-101.73510638297871,1
XRP/USDT|4h|breaker161|107:low:85:0.2236:structural|109,XRP/USDT,4h,breaker161,short,1579867200000,1580270400000,-1.0173510638297871,accepted,10000,9796.529787234042,-101.73510638297871,2
XRP/USDT|4h|ote|107:low:85:0.2236:structural|122,XRP/USDT,4h,ote,short,1580054400000,1580270400000,-1.0222657300633424,accepted,10000,9694.303214227708,-102.22657300633425,3
XRP/USDT|4h|ote|107:low:85:0.2236:structural|123,XRP/USDT,4h,ote,short,1580068800000,1580630400000,-1.0148621296565326,capacity-rejected,10000,10000,0,3
XRP/USDT|4h|deep|107:low:85:0.2236:structural|130,XRP/USDT,4h,deep,short,1580169600000,1580270400000,-1.0465540937952544,capacity-rejected,10000,10000,0,3
LTC/USDT|4h|breaker|110:high:68:58.32:structural|115,LTC/USDT,4h,breaker,long,1580212800000,1580400000000,0.9003847905759158,capacity-rejected,10000,10000,0,3
LTC/USDT|4h|breaker|110:high:68:58.32:structural|115,LTC/USDT,4h,breaker,long,1580212800000,1580400000000,0.9003847905759158,capacity-rejected,10000,10000,0,3
LTC/USDT|4h|breaker161|110:high:68:58.32:structural|115,LTC/USDT,4h,breaker161,long,1580212800000,1580400000000,0.9003847905759158,capacity-rejected,10000,10000,0,3
LTC/USDT|4h|breaker161|110:high:68:58.32:structural|115,LTC/USDT,4h,breaker161,long,1580212800000,1580400000000,0.9003847905759158,capacity-rejected,10000,10000,0,3
XRP/USDT|4h|deep|107:low:85:0.2236:structural|133,XRP/USDT,4h,deep,short,1580212800000,1580630400000,-1.0313205076178915,capacity-rejected,10000,10000,0,3
LINK/USDT|4h|ote|80:high:11:2.854:structural|91,LINK/USDT,4h,ote,long,1580558400000,1581408000000,1.4209918090391374,accepted,9694.303214227708,9832.058468845302,137.75525461759355,1
LINK/USDT|4h|ote|80:high:11:2.854:structural|91,LINK/USDT,4h,ote,long,1580558400000,1581408000000,1.4209918090391374,accepted,9694.303214227708,9969.813723462896,137.75525461759355,2
LTC/USDT|4h|ote|167:high:137:73:structural|169,LTC/USDT,4h,ote,long,1580990400000,1581523200000,1.4118335747790818,accepted,9694.303214227708,10106.68115108225,136.86742761935446,3
