dimension,key,trades,totalR,expectancyR,winRate
symbol,BTC/USDT,25,-1.7732784827534247,-0.07093113931013699,0.56
symbol,ETH/USDT,25,-2.800547908032136,-0.11202191632128544,0.48
symbol,XRP/USDT,16,2.3541961225256816,0.1471372576578551,0.625
symbol,LTC/USDT,26,-2.9063564536057926,-0.11178294052329972,0.5
symbol,ADA/USDT,61,28.460079758803314,0.4665586845705461,0.7213114754098361
symbol,LINK/USDT,22,-4.9740634252414315,-0.2260937920564287,0.5909090909090909
symbol,BNB/USDT,32,2.7566159155286702,0.08614424736027095,0.59375
symbol,DOGE/USDT,16,-3.500809584212643,-0.2188005990132902,0.5625
symbol,AVAX/USDT,19,1.9847317947391108,0.10445956814416373,0.5263157894736842
symbol,NEAR/USDT,32,4.90395348732289,0.15324854647884031,0.625
symbol,SOL/USDT,10,5.0891886797752335,0.5089188679775234,0.8
symbol,APT/USDT,24,5.943483106527746,0.2476451294386561,0.7083333333333334
symbol,SUI/USDT,12,11.87865748138116,0.9898881234484299,1
symbol,TON/USDT,10,-6.9028939023812175,-0.6902893902381217,0.3
scenario,deep,58,2.9802299624522504,0.05138327521469397,0.3103448275862069
scenario,ote,63,12.823032339586627,0.2035401958664544,0.6190476190476191
scenario,breaker,162,23.552537697112527,0.1453860351673613,0.7098765432098766
scenario,breaker161,47,1.1571565912257535,0.024620353004803266,0.6808510638297872
direction,short,130,1.903848391066202,0.01464498762358617,0.6
direction,long,200,38.60910819931095,0.19304554099655477,0.63
