dimension,key,trades,totalR,expectancyR,winRate
symbol,XRP/USDT,23,8.269479477282925,0.3595425859688228,0.7391304347826086
symbol,LINK/USDT,28,-1.7998704650323205,-0.06428108803686859,0.6428571428571429
symbol,LTC/USDT,24,-7.033358526263428,-0.29305660526097616,0.4166666666666667
symbol,ADA/USDT,62,23.152409627133945,0.3734259617279669,0.6774193548387096
symbol,BNB/USDT,29,8.86575302090549,0.30571562141053416,0.6896551724137931
symbol,DOGE/USDT,17,-1.323458677302283,-0.07785051042954605,0.5882352941176471
symbol,SOL/USDT,9,5.159992026051689,0.5733324473390765,0.7777777777777778
symbol,AVAX/USDT,15,3.760971639896077,0.25073144265973846,0.6
symbol,NEAR/USDT,29,0.1338601885073749,0.0046158685692198245,0.5517241379310345
symbol,APT/USDT,24,7.592494323410056,0.3163539301420857,0.7083333333333334
symbol,SUI/USDT,12,11.936943108167608,0.9947452590139673,1
symbol,TON/USDT,11,-4.2917458699575555,-0.39015871545068687,0.36363636363636365
scenario,breaker,135,30.190180453025874,0.22363096631871018,0.7555555555555555
scenario,breaker161,36,1.9702536036305167,0.054729266767514356,0.6944444444444444
scenario,ote,58,15.26965438841456,0.2632699032485269,0.6379310344827587
scenario,deep,54,6.993381427728635,0.1295070634764562,0.3333333333333333
direction,short,105,15.126022331422725,0.1440573555373593,0.6571428571428571
direction,long,178,39.29744754137683,0.22077217719874626,0.6348314606741573
