at,equity,drawdownPct
1572004800000,10000,0
1572019200000,9948.553971708547,0.5144602829145333
1572019200000,9897.107943417093,1.0289205658290665
1572019200000,9846.423156130408,1.5357684386959227
1574092800000,9890.323412974301,1.0967658702569862
1574092800000,9934.223669818195,0.6577633018180494
1578268800000,9883.419250218187,1.165807497818132
1578340800000,9833.03987615554,1.669601238444593
1578441600000,9841.852056301776,1.5814794369822447
1579003200000,9791.876115978284,2.0812388402171567
1579003200000,9835.97947609491,1.6402052390509014
1579017600000,9880.37142232148,1.1962857767852073
1579824000000,9830.13807985818,1.698619201418205
1579824000000,9779.90473739488,2.200952626051203
1579824000000,9729.454426143964,2.7054557385603584
1580140800000,9679.6485844794,3.203514155205994
1580270400000,9630.157230424795,3.6984276957520525
1580270400000,9580.665876370189,4.193341236298111
1580270400000,9530.014497107257,4.699855028927432
1580688000000,9572.736844543691,4.272631554563086
1580688000000,9615.459191980126,3.84540808019874
1580688000000,9658.18153941656,3.4181846058343943
1581523200000,9726.36026425986,2.7363973574014016
1581868800000,9735.67760107487,2.643223989251292
1581868800000,9686.211633303663,3.137883666963371
1581868800000,9636.107140311186,3.6389285968881446
1582689600000,9645.708252962004,3.5429174703799617
1583323200000,9597.189575445158,4.028104245548421
1583668800000,9606.318248886731,3.9368175111326855
1583697600000,9557.950827967483,4.420491720325172
1583697600000,9509.583407048234,4.904165929517658
1584057600000,9461.884308244415,5.381156917555854
1584057600000,9414.359419049028,5.856405809509725
1584057600000,9367.174709845933,6.328252901540672
1594065600000,9376.70566301136,6.232943369886398
1594065600000,9386.236616176788,6.137633838232123
1594526400000,9338.77100161769,6.612289983823103
1594526400000,9291.305387058592,7.086946129414081
1595635200000,9333.117543618775,6.668824563812249
1595865600000,9286.142955743067,7.138570442569325
1596312000000,9328.05783061489,6.719421693851109
1596312000000,9280.966438673642,7.190335613263578
1596340800000,9233.516681030876,7.664833189691235
1596484800000,9186.324654753971,8.13675345246029
1598356800000,9227.617794654725,7.72382205345275
1598371200000,9236.797293707124,7.6320270629287545
1598544000000,9278.11812972318,7.218818702768203
1598990400000,9319.867764578026,6.801322354219737
1599220800000,9272.916055278069,7.2708394472193145
1599868800000,9226.240586197231,7.737594138027689
1603238400000,9179.645867579142,8.203541324208581
1603339200000,9132.348997018178,8.676510029818218
1603670400000,9171.272209987093,8.287277900129066
1603972800000,9188.594555487158,8.114054445128422
1604707200000,9197.461515887497,8.025384841125033
1606075200000,9206.77122970416,7.932287702958401
1606075200000,9216.080943520823,7.83919056479177
1606176000000,9224.826166331903,7.751738336680973
1606348800000,9242.061288214003,7.5793871178599685
1609675200000,9283.95539188948,7.160446081105201
1609732800000,9325.867485503297,6.741325144967031
1609732800000,9391.780998857128,6.08219001142872
1609992000000,9433.705715924632,5.662942840753677
1610150400000,9476.448574894557,5.235514251054428
1612483200000,9519.368747971374,4.806312520286265
1612728000000,9562.413095638014,4.3758690436198595
1612785600000,9604.977266852815,3.9502273314718512
1612785600000,9647.541438067616,3.524585619323843
1613433600000,9691.041549837273,3.0895845016272685
1613995200000,9642.214493179537,3.577855068204626
1614412800000,9710.904160629325,2.890958393706751
1615521600000,9754.701487559865,2.4529851244013483
1615910400000,9764.108031886384,2.3589196811361584
1617652800000,9808.09018308103,1.919098169189692
1617796800000,9852.188650696282,1.4781134930371809
1618329600000,9896.743333409851,1.0325666659014858
1618387200000,9940.846669809263,0.591533301907366
1618444800000,9985.634167757538,0.14365832242461693
1618516800000,10030.157233793088,0
1618704000000,9978.835753926061,0.5116717382467072
1618704000000,9928.357571537023,1.0149358567689017
1619136000000,9877.931045714715,1.5176849627591171
1619755200000,10074.84088365822,0
1620072000000,10024.110697041233,0.5035333778747182
1620403200000,10069.083876719678,0.0571424105355356
1620676800000,10017.945342955682,0.5647289258416524
1621396800000,10027.969170947637,0.4652352652696539
1621411200000,10073.03742344278,0.017900632240907783
1621425600000,10083.063046386866,0
1621425600000,10093.164786714338,0
1628884800000,10138.806296582678,0
1629432000000,10340.291379535967,0
1629432000000,10541.776462489257,0
1636344000000,10589.636894585776,0
1636344000000,10637.497326682294,0
1636574400000,10583.605073750836,0.5066253017641601
1636574400000,10528.911384937348,1.0207846677674615
1637049600000,10475.592701802338,1.5220180076929137
1637049600000,10421.964340632165,2.026162540219898
1637424000000,10629.561771464223,0.07459983278366085
1637913600000,10578.705089544748,0.5526886196255596
1638590400000,10647.823933268943,0
1639411200000,10723.459882206178,0
1641297600000,10669.685101334877,0.5014685694915644
