symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be,sweep_in,sweep_ev_full,sweep_ev_be,nosweep_in,nosweep_ev_full,nosweep_ev_be,ev_full_net,ev_be_net,stop_tp_pct,ext141_pct,ext200_pct,ext241_pct,win_mae_med,win_mae_p90
SOL/USDT,15m,base,full,local,bos,0,ote,zero,234,137,136,0.5985,0.2044,0.3942,0.0816,0.0550,69,0.0919,0.0300,68,0.0710,0.0807,94,0.0687,0.0630,43,0.1105,0.0370,-0.0086,-0.0379,0.2222,0.5985,0.4088,0.3066,-0.2443,-0.8296
SOL/USDT,15m,base,full,local,bos,0,ote,zero200,234,137,136,0.5985,0.2920,0.3942,0.0816,0.0694,69,0.0919,0.0518,68,0.0710,0.0876,94,0.0687,0.0787,43,0.1105,0.0486,-0.0086,-0.0230,0.2222,0.5985,0.4088,0.3066,-0.2443,-0.8296
SOL/USDT,15m,base,full,local,bos,0,deep,zero,234,75,75,0.2000,0.1200,0.8000,-0.2618,-0.2124,37,-0.3017,-0.1975,38,-0.2229,-0.2268,51,-0.3486,-0.3258,24,-0.0772,0.0288,-0.5180,-0.4703,0.2333,0.2133,0.1467,0.1333,-0.6510,-0.8601
SOL/USDT,15m,base,full,local,bos,0,deep,zero200,234,75,75,0.2000,0.1333,0.8000,-0.2618,-0.2485,37,-0.3017,-0.2701,38,-0.2229,-0.2275,51,-0.3486,-0.3785,24,-0.0772,0.0276,-0.5180,-0.5063,0.2333,0.2133,0.1467,0.1333,-0.6510,-0.8601
SOL/USDT,15m,base,full,local,bos,0,breaker,zero,128,84,84,0.7976,0.1071,0.2024,0.1246,0.0367,41,0.1005,0.0437,43,0.1477,0.0300,61,0.1326,0.0604,23,0.1035,-0.0263,0.0521,-0.0398,0.2353,0.7976,0.4762,0.3571,-0.2017,-0.7797
SOL/USDT,15m,base,full,local,bos,0,breaker161,zero,87,44,44,0.8182,0.1364,0.1818,0.1536,0.0820,22,0.0895,0.0273,22,0.2177,0.1368,31,0.1826,0.1244,13,0.0846,-0.0188,0.0915,0.0168,0.2500,0.8182,0.4545,0.2955,-0.2241,-0.8659
SOL/USDT,15m,base,full,local,bos,0,breaker200,zero,122,67,67,0.7910,0.1045,0.2090,0.1154,0.0269,34,0.0782,0.0044,33,0.1536,0.0500,49,0.1222,0.0454,18,0.0967,-0.0236,0.0470,-0.0451,0.1429,0.7910,0.4627,0.3284,-0.2241,-0.8543
SOL/USDT,15m,base,full,local,bos,5,ote,zero,152,68,67,0.6324,0.2500,0.3529,0.1513,0.1587,37,0.2121,0.1952,31,0.0763,0.1137,42,0.1532,0.1686,26,0.1481,0.1420,0.1072,0.1134,0.1250,0.6324,0.4559,0.3235,-0.3900,-0.7197
SOL/USDT,15m,base,full,local,bos,5,ote,zero200,152,68,67,0.6324,0.3824,0.3529,0.1513,0.1962,37,0.2121,0.2152,31,0.0763,0.1728,42,0.1532,0.2106,26,0.1481,0.1721,0.1072,0.1514,0.1250,0.6324,0.4559,0.3235,-0.3900,-0.7197
SOL/USDT,15m,base,full,local,bos,5,deep,zero,152,22,22,0.2727,0.2273,0.7273,0.0067,0.2430,10,0.1073,0.5000,12,-0.0772,0.0288,13,-0.4321,-0.2308,9,0.6405,0.9273,-0.1410,0.0950,0.1875,0.3182,0.2727,0.2273,-0.3044,-0.8601
SOL/USDT,15m,base,full,local,bos,5,deep,zero200,152,22,22,0.2727,0.2727,0.7273,0.0067,0.2173,10,0.1073,0.3390,12,-0.0772,0.1158,13,-0.4321,-0.3133,9,0.6405,0.9837,-0.1410,0.0696,0.1875,0.3182,0.2727,0.2273,-0.3044,-0.8601
SOL/USDT,15m,base,full,local,bos,5,breaker,zero,74,39,39,0.8718,0.1538,0.1282,0.2292,0.1590,21,0.2086,0.1336,18,0.2533,0.1886,26,0.3015,0.2479,13,0.0846,-0.0188,0.1924,0.1198,0.0000,0.8718,0.5385,0.3590,-0.2017,-0.8543
