symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be,sweep_in,sweep_ev_full,sweep_ev_be,nosweep_in,nosweep_ev_full,nosweep_ev_be,ev_full_net,ev_be_net,stop_tp_pct,ext141_pct,ext200_pct,ext241_pct,win_mae_med,win_mae_p90
BTC/USDT,30m,base,full,local,choch,0,deep,zero200,138,76,76,0.3289,0.1974,0.6711,0.2142,0.1895,36,0.0253,0.0633,40,0.3842,0.3031,64,0.2111,0.1667,12,0.2304,0.3113,-0.0452,-0.0726,0.2295,0.3816,0.1974,0.1579,-0.3869,-0.6482
BTC/USDT,30m,base,full,local,choch,0,breaker,zero,91,71,71,0.7042,0.3239,0.2958,-0.0070,0.0770,33,0.1536,0.2850,38,-0.1466,-0.1037,59,-0.0441,0.0440,12,0.1750,0.2392,-0.0857,-0.0042,0.2128,0.7324,0.4366,0.3239,-0.1706,-0.7658
BTC/USDT,30m,base,full,local,choch,0,breaker161,zero,50,34,34,0.5882,0.3235,0.4118,-0.1706,-0.0631,15,0.0340,0.2127,19,-0.3321,-0.2808,25,-0.2668,-0.1478,9,0.0967,0.1722,-0.2406,-0.1348,0.1818,0.5882,0.4412,0.3235,-0.1706,-0.3333
BTC/USDT,30m,base,full,local,choch,0,oteRegime,zero,25,19,19,0.4211,0.2632,0.5789,-0.2447,-0.1399,11,-0.0215,0.1376,8,-0.5515,-0.5216,16,-0.4394,-0.4343,3,0.7939,1.4300,-0.3383,-0.2341,0.2308,0.4737,0.4211,0.2632,-0.3632,-0.8874
BTC/USDT,30m,base,full,local,choch,0,deepRegime,zero,25,13,13,0.2308,0.1538,0.7692,-0.1482,-0.0503,6,0.2304,0.6667,7,-0.4727,-0.6649,11,-0.6644,-0.7868,2,2.6911,4.0000,-0.3662,-0.2690,0.2727,0.3077,0.2308,0.1538,-0.5827,-0.7683
BTC/USDT,30m,base,full,local,choch,5,ote,zero,59,38,38,0.5526,0.3158,0.4474,-0.0086,0.0982,25,0.0046,0.1542,13,-0.0341,-0.0094,27,-0.2027,-0.1496,11,0.4677,0.7065,-0.0798,0.0259,0.1200,0.5789,0.3947,0.3158,-0.2326,-0.7160
BTC/USDT,30m,base,full,local,choch,5,ote,zero200,59,38,38,0.5526,0.3947,0.4474,-0.0086,0.0768,25,0.0046,0.1530,13,-0.0341,-0.0696,27,-0.2027,-0.1503,11,0.4677,0.6344,-0.0798,0.0049,0.1304,0.5789,0.3947,0.3158,-0.2326,-0.7160
BTC/USDT,30m,base,full,local,choch,5,deep,zero,59,23,23,0.2174,0.1304,0.7826,-0.1976,-0.1439,15,-0.2618,0.0000,8,-0.0772,-0.4136,19,-0.4172,-0.3502,4,0.8455,0.8364,-0.3911,-0.3383,0.1500,0.3043,0.1304,0.1304,-0.2481,-0.9401
BTC/USDT,30m,base,full,local,choch,5,deep,zero200,59,23,23,0.2174,0.1304,0.7826,-0.1976,-0.2139,15,-0.2618,-0.1073,8,-0.0772,-0.4136,19,-0.4172,-0.4067,4,0.8455,0.7022,-0.3911,-0.4083,0.1500,0.3043,0.1304,0.1304,-0.2481,-0.9401
BTC/USDT,30m,base,full,local,choch,5,breaker,zero,36,27,27,0.5926,0.3333,0.4074,-0.1644,-0.0509,13,-0.0238,0.1054,14,-0.2950,-0.1961,22,-0.2950,-0.1732,5,0.4100,0.4870,-0.2216,-0.1092,0.1765,0.6296,0.4444,0.3333,-0.1590,-0.6674
BTC/USDT,30m,base,full,local,choch,5,breaker161,zero,26,18,18,0.6667,0.3333,0.3333,-0.0600,0.0383,10,0.1280,0.2460,8,-0.2950,-0.2213,13,-0.2408,-0.1342,5,0.4100,0.4870,-0.1137,-0.0169,0.1818,0.6667,0.5000,0.3333,-0.1480,-0.3333
BTC/USDT,30m,base,full,local,choch,5,oteRegime,zero,10,7,7,0.5714,0.2857,0.4286,0.0251,0.0934,5,0.0763,0.0448,2,-0.1031,0.2150,5,-0.2824,-0.4412,2,0.7939,1.4300,-0.0515,0.0160,0.0000,0.5714,0.5714,0.2857,-0.1517,-0.6346
BTC/USDT,30m,base,full,local,choch,5,deepRegime,zero,10,3,3,0.3333,0.3333,0.6667,0.2304,0.6667,2,0.8455,1.5000,1,-1.0000,-1.0000,2,-1.0000,-1.0000,1,2.6911,4.0000,0.0128,0.4489,0.0000,0.3333,0.3333,0.3333,-0.2481,-0.2481
BTC/USDT,30m,base,full,global,bos,0,ote,zero,176,84,82,0.5714,0.3214,0.4048,0.0501,0.1579,47,0.1959,0.3675,37,-0.1273,-0.0970,70,0.0919,0.2246,14,-0.1720,-0.1963,0.0057,0.1126,0.0577,0.5714,0.3690,0.3214,-0.3303,-0.7521
