symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be,sweep_in,sweep_ev_full,sweep_ev_be,nosweep_in,nosweep_ev_full,nosweep_ev_be,ev_full_net,ev_be_net,stop_tp_pct,ext141_pct,ext200_pct,ext241_pct,win_mae_med,win_mae_p90
BTC/USDT,30m,base,full,local,bos,0,breaker161DedupLo,zero,78,24,24,0.7917,0.4167,0.2083,0.1162,0.2477,13,0.0846,0.3065,11,0.1536,0.1782,16,0.1456,0.1994,8,0.0575,0.3444,0.0403,0.1696,0.2857,0.7917,0.5000,0.4167,-0.1760,-0.9344
BTC/USDT,30m,base,full,local,bos,0,oteCombo,zero,112,49,48,0.5714,0.3469,0.4082,0.0464,0.1808,25,-0.1389,0.0424,24,0.2479,0.3311,37,-0.0034,0.1491,12,0.1959,0.2757,-0.0320,0.1010,0.0968,0.5714,0.4082,0.3469,-0.3224,-0.8733
BTC/USDT,30m,base,full,local,bos,0,deepCombo,zero,145,29,29,0.4828,0.2759,0.5172,0.7819,0.8646,18,0.6405,0.6323,11,1.0133,1.2446,24,0.6918,0.7387,5,1.2147,1.4691,0.5735,0.6522,0.1905,0.4828,0.2759,0.2759,-0.4311,-0.8725
BTC/USDT,30m,base,full,local,bos,0,breakerCombo,zero,88,37,37,0.8108,0.4865,0.1892,0.1432,0.3200,22,0.0895,0.3477,15,0.2220,0.2793,31,0.1371,0.2902,6,0.1750,0.4742,0.0506,0.2251,0.1579,0.8108,0.5946,0.4865,-0.1735,-0.8598
BTC/USDT,30m,base,full,local,bos,0,breaker161Combo,zero,72,18,18,0.7778,0.4444,0.2222,0.0967,0.2506,10,-0.0130,0.1960,8,0.2337,0.3187,12,0.1750,0.2392,6,-0.0600,0.2733,0.0233,0.1759,0.3000,0.7778,0.5556,0.4444,-0.2757,-0.9114
BTC/USDT,30m,base,full,local,bos,5,ote,zero,167,87,85,0.5977,0.3563,0.3793,0.0974,0.2314,46,-0.0433,0.0435,41,0.2557,0.4427,59,0.0700,0.1958,28,0.1532,0.3039,0.0515,0.1846,0.0741,0.5977,0.4138,0.3563,-0.3271,-0.8733
BTC/USDT,30m,base,full,local,bos,5,ote,zero200,167,87,85,0.5977,0.4138,0.3793,0.0974,0.1817,46,-0.0433,0.0025,41,0.2557,0.3833,59,0.0700,0.1449,28,0.1532,0.2566,0.0515,0.1351,0.0816,0.5977,0.4138,0.3563,-0.3271,-0.8733
BTC/USDT,30m,base,full,local,bos,5,deep,zero,167,30,30,0.5000,0.3667,0.5000,0.8455,1.1461,19,0.5541,0.5464,11,1.3489,2.1818,18,1.0506,1.4828,12,0.5380,0.6409,0.7119,1.0114,0.1579,0.5000,0.4000,0.3667,-0.5909,-0.8752
BTC/USDT,30m,base,full,local,bos,5,deep,zero200,167,30,30,0.5000,0.4000,0.5000,0.8455,1.0199,19,0.5541,0.5449,11,1.3489,1.8403,18,1.0506,1.2443,12,0.5380,0.6832,0.7119,0.8854,0.1667,0.5000,0.4000,0.3667,-0.5909,-0.8752
BTC/USDT,30m,base,full,local,bos,5,breaker,zero,63,24,24,0.7500,0.4167,0.2500,0.0575,0.1975,14,0.1079,0.2489,10,-0.0130,0.1255,19,0.1132,0.2482,5,-0.1540,0.0050,0.0069,0.1454,0.0714,0.7500,0.5833,0.4167,-0.2226,-0.9420
BTC/USDT,30m,base,full,local,bos,5,breaker161,zero,48,10,10,0.7000,0.3000,0.3000,-0.0130,0.0550,6,-0.0600,0.0383,4,0.0575,0.0800,6,0.1750,0.1217,4,-0.2950,-0.0450,-0.0572,0.0094,0.1429,0.7000,0.5000,0.3000,-0.3141,-0.9420
BTC/USDT,30m,base,full,local,bos,5,oteRegime,zero,104,50,49,0.6200,0.4400,0.3600,0.1349,0.3476,21,-0.0603,0.0269,29,0.2814,0.5881,33,0.0651,0.2814,17,0.2663,0.4722,0.1035,0.3158,0.0370,0.6200,0.4800,0.4400,-0.2824,-0.8733
BTC/USDT,30m,base,full,local,bos,5,deepRegime,zero,104,11,11,0.6364,0.4545,0.3636,1.3489,1.6992,5,0.4764,-0.0618,6,2.0759,3.1667,6,2.0759,2.7243,5,0.4764,0.4691,1.2567,1.6059,0.1667,0.6364,0.4545,0.4545,-0.5909,-0.8756
BTC/USDT,30m,base,full,local,bos,5,oteDedupCd,zero,107,27,26,0.5185,0.3333,0.4444,-0.0341,0.1098,14,-0.3593,-0.2059,13,0.3454,0.4782,20,-0.1503,-0.0121,7,0.2814,0.4406,-0.0814,0.0620,0.0000,0.5185,0.3704,0.3333,-0.3691,-0.8873
BTC/USDT,30m,base,full,local,bos,5,oteDedupOp,zero,112,32,31,0.5625,0.2813,0.4063,0.0416,0.1111,18,-0.0034,0.0057,14,0.1039,0.2570,24,-0.0641,-0.0017,8,0.3454,0.4351,-0.0072,0.0609,0.0455,0.5625,0.3438,0.2813,-0.3166,-0.8873
BTC/USDT,30m,base,full,local,bos,5,oteDedupLo,zero,149,69,67,0.5362,0.3478,0.4348,-0.0093,0.1415,37,-0.2027,-0.1209,32,0.2152,0.4462,44,-0.0603,0.1007,25,0.0763,0.2101,-0.0538,0.0964,0.0698,0.5362,0.3913,0.3478,-0.3596,-0.8504
BTC/USDT,30m,base,full,local,bos,5,deepDedupCd,zero,147,10,10,0.7000,0.5000,0.3000,1.5838,1.9691,6,0.8455,0.6152,4,2.6911,4.0000,5,1.2147,1.4691,5,1.9529,2.4691,1.4342,1.8178,0.0000,0.7000,0.6000,0.5000,-0.4163,-0.8756
BTC/USDT,30m,base,full,local,bos,5,deepDedupOp,zero,151,14,14,0.6429,0.4286,0.3571,1.3728,1.6455,9,1.0506,0.8930,5,1.9529,3.0000,9,1.0506,1.1879,5,1.9529,2.4691,1.2223,1.4928,0.1250,0.6429,0.5000,0.4286,-0.5573,-0.8756
