symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be,sweep_in,sweep_ev_full,sweep_ev_be,nosweep_in,nosweep_ev_full,nosweep_ev_be,ev_full_net,ev_be_net,stop_tp_pct,ext141_pct,ext200_pct,ext241_pct,win_mae_med,win_mae_p90
BTC/USDT,30m,base,full,local,bos,5,deep,zero200,167,30,30,0.5000,0.4000,0.5000,0.8455,1.0199,19,0.5541,0.5449,11,1.3489,1.8403,18,1.0506,1.2443,12,0.5380,0.6832,0.7119,0.8854,0.1667,0.5000,0.4000,0.3667,-0.5909,-0.8752
BTC/USDT,30m,base,full,local,bos,5,breaker,zero,63,24,24,0.7500,0.4167,0.2500,0.0575,0.1975,14,0.1079,0.2489,10,-0.0130,0.1255,19,0.1132,0.2482,5,-0.1540,0.0050,0.0069,0.1454,0.0714,0.7500,0.5833,0.4167,-0.2226,-0.9420
BTC/USDT,30m,base,full,local,bos,5,breaker161,zero,48,10,10,0.7000,0.3000,0.3000,-0.0130,0.0550,6,-0.0600,0.0383,4,0.0575,0.0800,6,0.1750,0.1217,4,-0.2950,-0.0450,-0.0572,0.0094,0.1429,0.7000,0.5000,0.3000,-0.3141,-0.9420
BTC/USDT,30m,base,full,local,bos,5,oteCombo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,bos,5,deepCombo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,bos,5,breakerCombo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,bos,5,breaker161Combo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,bos,5,fade141c,far,167,73,72,0.5890,0.4247,0.3973,-0.1202,-0.0891,39,-0.1449,-0.1369,34,-0.0925,-0.0356,49,-0.1124,-0.0741,24,-0.1367,-0.1211,-0.1729,-0.1424,0.0750,,,,-0.2508,-0.5993
BTC/USDT,30m,base,full,local,bos,5,fade241nc,zoneAtr,167,18,18,0.0556,0.0556,0.9444,-0.8204,-0.7917,10,-0.6767,-0.6251,8,-1.0000,-1.0000,12,-0.7306,-0.6876,6,-1.0000,-1.0000,-0.9782,-0.9496,0.1765,,,,-0.4263,-0.4263
BTC/USDT,30m,base,full,local,bos,5,fade141cInv,far,63,31,31,0.6452,0.5806,0.3548,-0.0607,0.0153,11,0.0429,0.1482,20,-0.1176,-0.0578,22,-0.0415,0.0559,9,-0.1075,-0.0839,-0.1307,-0.0552,0.1538,,,,-0.3158,-0.6963
BTC/USDT,30m,base,full,local,bos,5,fade241ncInv,zoneAtr,63,8,8,0.1250,0.1250,0.8750,-0.5959,-0.5314,2,0.6165,0.8743,6,-1.0000,-1.0000,5,-0.3534,-0.2503,3,-1.0000,-1.0000,-0.8185,-0.7541,0.2857,,,,-0.4263,-0.4263
BTC/USDT,30m,base,full,local,bos,5,fade141cCombo,far,48,16,16,0.6250,0.5625,0.3750,-0.1078,-0.0307,6,-0.2848,-0.2124,10,-0.0015,0.0783,10,-0.1023,-0.0096,6,-0.1168,-0.0659,-0.1632,-0.0864,0.1429,,,,-0.3158,-0.5993
BTC/USDT,30m,base,full,local,bos,5,fade241ncCombo,zoneAtr,60,5,5,0.0000,0.0000,1.0000,-1.0000,-1.0000,1,-1.0000,-1.0000,4,-1.0000,-1.0000,3,-1.0000,-1.0000,2,-1.0000,-1.0000,-1.2576,-1.2576,0.2000,,,,,
BTC/USDT,30m,base,full,local,choch,0,ote,zero,141,92,91,0.5217,0.3478,0.4674,-0.0538,0.1001,49,-0.0657,0.0719,43,-0.0405,0.1316,65,0.0371,0.2112,27,-0.2692,-0.1630,-0.1781,-0.0261,0.2542,0.5326,0.3913,0.3478,-0.3816,-0.8005
BTC/USDT,30m,base,full,local,choch,0,ote,zero200,141,92,91,0.5217,0.3913,0.4674,-0.0538,0.0424,49,-0.0657,0.0011,43,-0.0405,0.0884,65,0.0371,0.1455,27,-0.2692,-0.2021,-0.1781,-0.0833,0.2545,0.5326,0.3913,0.3478,-0.3816,-0.8005
BTC/USDT,30m,base,full,local,choch,0,deep,zero,141,68,67,0.2353,0.1618,0.7500,-0.1185,-0.0041,39,-0.1258,-0.0254,29,-0.1090,0.0238,48,0.0995,0.2070,20,-0.6309,-0.5000,-0.4200,-0.3075,0.2857,0.2500,0.1912,0.1618,-0.4302,-0.9471
BTC/USDT,30m,base,full,local,choch,0,deep,zero200,141,68,67,0.2353,0.1912,0.7500,-0.1185,-0.0290,39,-0.1258,-0.0544,29,-0.1090,0.0043,48,0.0995,0.1943,20,-0.6309,-0.5537,-0.4200,-0.3309,0.2963,0.2500,0.1912,0.1618,-0.4302,-0.9471
BTC/USDT,30m,base,full,local,choch,0,breaker,zero,93,66,66,0.7576,0.4697,0.2424,0.0682,0.2440,34,0.1197,0.2679,32,0.0134,0.2186,49,0.0647,0.2696,17,0.0782,0.1703,-0.0302,0.1431,0.2286,0.7727,0.5152,0.4697,-0.0946,-0.5232
BTC/USDT,30m,base,full,local,choch,0,breaker161,zero,58,27,27,0.7778,0.5185,0.2222,0.0967,0.3028,18,0.2533,0.4628,9,-0.2167,-0.0172,18,0.0967,0.3289,9,0.0967,0.2506,0.0116,0.2160,0.1538,0.7778,0.5185,0.5185,-0.1659,-0.5232
BTC/USDT,30m,base,full,local,choch,0,oteCombo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,choch,0,deepCombo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,choch,0,breakerCombo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,choch,0,breaker161Combo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
