htf,symbol,timeframe,scenario,entryAt,direction,htfTrend,trendAligned,pdZone,pdAligned,netR
1h,BTC/USDT,30m,ote,1748406600000,short,bearish,true,premium,true,1.3407980684791019
1h,BTC/USDT,30m,breaker,1748514600000,short,bullish,false,premium,true,0.8715513016029358
1h,BTC/USDT,30m,ote,1748478600000,short,bearish,true,premium,true,1.3801294115444547
1h,BTC/USDT,30m,ote,1748631600000,short,bearish,true,premium,true,0.2977241125133919
1h,BTC/USDT,30m,ote,1748919600000,long,range,,premium,false,-1.0636131763349181
1h,BTC/USDT,30m,breaker,1749043800000,short,bullish,false,discount,false,0.026750230829424994
1h,BTC/USDT,30m,breaker,1749130200000,long,bearish,false,premium,false,-1.1621879256965928
1h,BTC/USDT,30m,breaker,1749207600000,short,range,,premium,true,-1.0505971414845063
1h,BTC/USDT,30m,breaker,1749193200000,short,range,,premium,true,-1.0417058891946327
1h,BTC/USDT,30m,breaker,1749378600000,short,range,,discount,false,-1.2253631691322262
1h,BTC/USDT,30m,breaker,1749749400000,short,bearish,true,premium,true,0.8481404018799164
1h,BTC/USDT,30m,ote,1750116600000,long,bullish,true,premium,false,-1.0322975776208116
1h,BTC/USDT,30m,ote,1750186800000,short,bearish,true,discount,false,0.35937464688446885
1h,BTC/USDT,30m,breaker,1750428000000,long,bullish,true,discount,true,0.09361021483261552
1h,BTC/USDT,30m,breaker,1750426200000,long,bullish,true,premium,false,-1.0705184772650564
1h,BTC/USDT,30m,breaker,1750498200000,short,range,,premium,true,0.8628062519591737
1h,BTC/USDT,30m,breaker,1750548600000,short,bullish,false,discount,false,0.1262252140568437
1h,BTC/USDT,30m,ote,1750687200000,short,range,,premium,true,-1.0183455550281346
1h,BTC/USDT,30m,breaker,1750825800000,long,bullish,true,premium,false,0.8235120091941558
1h,BTC/USDT,30m,breaker,1751212800000,long,bullish,true,discount,true,-0.11189243881712532
1h,BTC/USDT,30m,breaker,1751211000000,long,bullish,true,discount,true,0.10292954894748226
1h,BTC/USDT,30m,ote,1751261400000,long,bullish,true,premium,false,-1.1481276129360791
1h,BTC/USDT,30m,deep,1751265000000,long,bullish,true,discount,true,-1.3040458213815693
1h,BTC/USDT,30m,ote,1751297400000,short,range,,discount,false,0.28457725706798703
1h,BTC/USDT,30m,deep,1751468400000,short,bullish,false,premium,true,-1.2516159611808015
1h,BTC/USDT,30m,ote,1751378400000,short,bearish,true,premium,true,1.2807903709926327
1h,BTC/USDT,30m,deep,1751443200000,short,bearish,true,premium,true,-1.3621393450255082
1h,BTC/USDT,30m,breaker,1751376600000,short,bearish,true,discount,false,0.07769820090023885
1h,BTC/USDT,30m,ote,1751544000000,long,bullish,true,premium,false,0.24714189248364313
1h,BTC/USDT,30m,deep,1751545800000,long,bullish,true,discount,true,1.0384233703982892
1h,BTC/USDT,30m,breaker,1751826600000,long,range,,discount,true,0.7013783279974473
1h,BTC/USDT,30m,breaker,1752067800000,long,range,,premium,false,0.08028468173836927
1h,BTC/USDT,30m,breaker,1752544800000,long,range,,discount,true,0.07422585731925528
1h,BTC/USDT,30m,breaker,1752679800000,long,range,,premium,false,0.15030284429599144
1h,BTC/USDT,30m,ote,1752795000000,long,range,,premium,false,-1.0851910365790476
1h,BTC/USDT,30m,deep,1752847200000,long,range,,discount,true,-1.1745480490867306
1h,BTC/USDT,30m,ote,1752892200000,short,bearish,true,premium,true,0.34191382326469194
1h,BTC/USDT,30m,breaker,1753030800000,long,range,,premium,false,-0.13078062500000845
1h,BTC/USDT,30m,breaker,1753063200000,short,bearish,true,premium,true,-1.1433062656858504
1h,BTC/USDT,30m,breaker,1753475400000,short,range,,premium,true,-1.0749754411365489
1h,BTC/USDT,30m,breaker,1753439400000,short,range,,discount,false,0.16541868753111946
1h,BTC/USDT,30m,breaker,1753722000000,long,bullish,true,discount,true,-0.10023099730592484
1h,BTC/USDT,30m,breaker,1753599600000,long,bearish,false,premium,false,-0.10877313265306718
1h,BTC/USDT,30m,ote,1753707600000,long,bullish,true,discount,true,-1.0432273831212504
1h,BTC/USDT,30m,ote,1753729200000,short,bullish,false,discount,false,0.2999156323570225
1h,BTC/USDT,30m,deep,1753774200000,short,range,,premium,true,3.816061587674495
1h,BTC/USDT,30m,ote,1753912800000,short,range,,premium,true,-1.114235094111637
1h,BTC/USDT,30m,deep,1753921800000,short,range,,premium,true,-1.235789486837035
1h,BTC/USDT,30m,ote,1754249400000,short,bullish,false,premium,true,0.2894969936697448
1h,BTC/USDT,30m,deep,1754316000000,short,range,,premium,true,1.1233519293832774
1h,BTC/USDT,30m,breaker,1754244000000,short,bullish,false,premium,true,0.12076933702441646
1h,BTC/USDT,30m,breaker,1754163000000,short,bearish,true,discount,false,0.09580548507462468
1h,BTC/USDT,30m,ote,1754434800000,short,bearish,true,premium,true,-1.0948557821135312
1h,BTC/USDT,30m,deep,1754490600000,short,range,,premium,true,-1.1959147768095166
1h,BTC/USDT,30m,breaker,1754415000000,short,bearish,true,discount,false,-1.0744068447412356
1h,BTC/USDT,30m,ote,1754530200000,long,bullish,true,discount,true,1.35865212548295
1h,BTC/USDT,30m,breaker,1754744400000,long,bullish,true,discount,true,-0.0335714411764706
1h,BTC/USDT,30m,breaker,1754811000000,long,bullish,true,premium,false,0.8285310144677951
1h,BTC/USDT,30m,ote,1754845200000,long,bullish,true,premium,false,1.2997808540577718
1h,BTC/USDT,30m,deep,1755174600000,long,range,,discount,true,1.0575229421383547
1h,BTC/USDT,30m,breaker,1754940600000,long,range,,discount,true,0.17982124423289364
1h,BTC/USDT,30m,ote,1755174600000,long,range,,discount,true,-1.0265732361785798
1h,BTC/USDT,30m,breaker,1755174600000,long,range,,discount,true,-1.0210363636363635
1h,BTC/USDT,30m,ote,1754940600000,long,range,,discount,true,-1.0225891302065664
1h,BTC/USDT,30m,breaker,1755091800000,long,bearish,false,premium,false,0.08784918589839671
1h,BTC/USDT,30m,ote,1755151200000,long,range,,discount,true,-1.0484879944482999
1h,BTC/USDT,30m,deep,1755174600000,long,range,,discount,true,-1.0990281770585433
1h,BTC/USDT,30m,breaker,1755149400000,long,range,,premium,false,-1.0382613636363636
1h,BTC/USDT,30m,breaker,1755448200000,long,bullish,true,discount,true,-1.2153184603299285
1h,BTC/USDT,30m,breaker,1755538200000,short,bearish,true,premium,true,0.12179724117582423
1h,BTC/USDT,30m,ote,1755536400000,short,bearish,true,premium,true,1.3650997711051247
1h,BTC/USDT,30m,breaker,1755531000000,short,bearish,true,discount,false,0.8591182200886258
1h,BTC/USDT,30m,breaker,1755711000000,short,bearish,true,premium,true,0.16991793414449424
1h,BTC/USDT,30m,breaker,1755741600000,long,bullish,true,premium,false,0.11650029202959046
1h,BTC/USDT,30m,breaker,1756044000000,long,bullish,true,discount,true,-1.0568115435711463
1h,BTC/USDT,30m,breaker,1756398600000,long,range,,premium,false,-1.0770331817507783
1h,BTC/USDT,30m,breaker,1756575000000,long,bullish,true,premium,false,-0.052860605147865586
1h,BTC/USDT,30m,breaker,1756924200000,long,range,,premium,false,-1.09565312884947
1h,BTC/USDT,30m,breaker,1757376000000,long,bullish,true,discount,true,0.05884780211480596
1h,BTC/USDT,30m,ote,1757707200000,long,bearish,false,premium,false,-1.1284868644347712
1h,BTC/USDT,30m,deep,1757781000000,long,range,,discount,true,-1.2636331817951085
1h,BTC/USDT,30m,breaker,1757917800000,long,range,,premium,false,-1.1198162342475908
1h,BTC/USDT,30m,ote,1758490200000,short,bearish,true,discount,false,1.0181499319611005
1h,BTC/USDT,30m,ote,1759224600000,long,bullish,true,discount,true,1.3967422231981703
1h,BTC/USDT,30m,breaker,1759656600000,long,range,,discount,true,0.08658497313023775
1h,BTC/USDT,30m,ote,1759656600000,long,range,,discount,true,0.3142878654386721
1h,BTC/USDT,30m,deep,1759681800000,long,range,,discount,true,1.1765823618711804
1h,BTC/USDT,30m,breaker,1759654800000,long,range,,premium,false,0.13980556223479457
1h,BTC/USDT,30m,ote,1759942800000,short,bullish,false,premium,true,1.3673808075346583
1h,BTC/USDT,30m,breaker,1759932000000,short,range,,premium,true,0.15142995761576084
1h,BTC/USDT,30m,ote,1759919400000,short,bearish,true,premium,true,1.3843463533284863
1h,BTC/USDT,30m,ote,1760043600000,short,range,,discount,false,1.380067904216085
1h,BTC/USDT,30m,ote,1760866200000,short,bullish,false,premium,true,0.2927693073321824
1h,BTC/USDT,30m,breaker,1760716800000,short,bearish,true,premium,true,0.12334137556309421
1h,BTC/USDT,30m,ote,1761130800000,long,bearish,false,discount,true,0.24856284940401235
1h,BTC/USDT,30m,deep,1761130800000,long,bearish,false,discount,true,1.041347119454332
1h,BTC/USDT,30m,breaker,1761130800000,long,bearish,false,discount,true,0.088145699631554
1h,BTC/USDT,30m,ote,1761019200000,long,bearish,false,discount,true,0.36558080342785537
1h,BTC/USDT,30m,breaker,1761017400000,long,bearish,false,discount,true,0.1801218114942936
1h,BTC/USDT,30m,ote,1761080400000,long,range,,discount,true,0.3749714433486405
1h,BTC/USDT,30m,deep,1761130800000,long,bearish,false,discount,true,1.3014443834346348
1h,BTC/USDT,30m,ote,1761076800000,long,range,,premium,false,-1.0195767729764487
1h,BTC/USDT,30m,deep,1761130800000,long,bearish,false,discount,true,-1.0395406899463053
1h,BTC/USDT,30m,breaker,1761220800000,long,range,,premium,false,0.8553161442786061
1h,BTC/USDT,30m,ote,1761249600000,long,bullish,true,discount,true,0.28565066660757804
1h,BTC/USDT,30m,deep,1761251400000,long,bullish,true,discount,true,3.788260065936935
1h,BTC/USDT,30m,ote,1761661800000,long,bearish,false,discount,true,0.22144415998554648
1h,BTC/USDT,30m,deep,1761678000000,long,range,,discount,true,0.9855479312791665
1h,BTC/USDT,30m,breaker,1761661800000,long,bearish,false,discount,true,0.06683040974863518
1h,BTC/USDT,30m,ote,1761724800000,short,range,,discount,false,1.3823120309283805
1h,BTC/USDT,30m,breaker,1761807600000,short,bearish,true,premium,true,0.17777972577471707
1h,BTC/USDT,30m,ote,1761802200000,short,range,,discount,false,1.4089867975852735
1h,BTC/USDT,30m,ote,1761868800000,short,range,,discount,false,1.3864928895893756
1h,BTC/USDT,30m,deep,1761885000000,short,range,,premium,true,3.909687463919501
1h,BTC/USDT,30m,breaker,1761859800000,short,range,,discount,false,0.16770389548535103
1h,BTC/USDT,30m,breaker,1762075800000,long,bullish,true,premium,false,0.04564641966758679
1h,BTC/USDT,30m,ote,1762189200000,short,bearish,true,discount,false,1.3968718017619466
1h,BTC/USDT,30m,ote,1762356600000,short,bullish,false,premium,true,1.414434873207047
1h,BTC/USDT,30m,breaker,1762536600000,short,bearish,true,premium,true,0.11759669206817493
1h,BTC/USDT,30m,ote,1762482600000,short,range,,discount,false,0.3471074332663801
1h,BTC/USDT,30m,ote,1762601400000,long,range,,discount,true,1.381942165992917
1h,BTC/USDT,30m,breaker,1762574400000,long,range,,premium,false,0.8720567424704289
1h,BTC/USDT,30m,ote,1762833600000,long,bullish,true,discount,true,-1.0982951379807078
1h,BTC/USDT,30m,deep,1762837200000,long,bullish,true,discount,true,-1.20151093835821
1h,BTC/USDT,30m,ote,1762948800000,short,bearish,true,premium,true,1.374528986800136
1h,BTC/USDT,30m,breaker,1762938000000,short,bearish,true,premium,true,0.8665295836249122
1h,BTC/USDT,30m,ote,1763011800000,short,bearish,true,premium,true,1.3764489914547033
1h,BTC/USDT,30m,breaker,1762995600000,short,bearish,true,discount,false,0.15915151622368037
1h,BTC/USDT,30m,ote,1763011800000,short,bearish,true,premium,true,1.4049248519936637
1h,BTC/USDT,30m,breaker,1763316000000,short,bullish,false,discount,false,0.13663583333333335
1h,BTC/USDT,30m,ote,1763337600000,short,bearish,true,discount,false,1.3799944968405806
1h,BTC/USDT,30m,deep,1763364600000,short,bearish,true,premium,true,3.896316425436403
1h,BTC/USDT,30m,ote,1763481600000,short,bearish,true,premium,true,1.3844932153628422
1h,BTC/USDT,30m,breaker,1763478000000,short,bearish,true,premium,true,0.16600117288146513
1h,BTC/USDT,30m,ote,1763586000000,short,bearish,true,discount,false,-1.0683487314418239
1h,BTC/USDT,30m,deep,1763593200000,short,bearish,true,premium,true,-1.141374091396003
1h,BTC/USDT,30m,breaker,1763586000000,short,bearish,true,discount,false,-1.0535723029132735
1h,BTC/USDT,30m,ote,1763586000000,short,bearish,true,discount,false,1.4020257428799199
1h,BTC/USDT,30m,deep,1763598600000,short,bearish,true,premium,true,3.941647732731983
1h,BTC/USDT,30m,ote,1763631000000,long,range,,premium,false,-1.0423904421918162
1h,BTC/USDT,30m,deep,1763652600000,long,bullish,true,discount,true,-1.0864819046145744
1h,BTC/USDT,30m,breaker,1763881200000,long,bullish,true,discount,true,0.16962379239171962
1h,BTC/USDT,30m,ote,1764037800000,long,range,,premium,false,1.3828304210090867
1h,BTC/USDT,30m,deep,1764081000000,long,bearish,false,discount,true,3.903632227521297
1h,BTC/USDT,30m,ote,1764345600000,long,range,,premium,false,-1.1125776518771435
1h,BTC/USDT,30m,deep,1764347400000,long,range,,discount,true,-1.2308985193074193
1h,BTC/USDT,30m,breaker,1764345600000,long,range,,premium,false,-1.0886358343754345
1h,BTC/USDT,30m,breaker,1764502200000,long,bearish,false,premium,false,0.009640074257431033
1h,BTC/USDT,30m,ote,1764671400000,short,range,,premium,true,-1.0229207024748193
1h,BTC/USDT,30m,ote,1764874800000,long,bearish,false,discount,true,0.3806491431099356
1h,BTC/USDT,30m,breaker,1764946800000,short,bearish,true,discount,false,0.8516797209189481
1h,BTC/USDT,30m,ote,1765377000000,long,range,,discount,true,-1.0320075844599281
1h,BTC/USDT,30m,breaker,1765485000000,short,bearish,true,premium,true,0.8700299807176706
1h,BTC/USDT,30m,breaker,1765764000000,short,bearish,true,premium,true,0.04492468101909587
1h,BTC/USDT,30m,ote,1765760400000,short,range,,discount,false,-1.1303736743587496
1h,BTC/USDT,30m,deep,1765762200000,short,range,,discount,false,-1.2689960943611975
1h,BTC/USDT,30m,breaker,1765756800000,short,range,,discount,false,-1.102323908045977
1h,BTC/USDT,30m,ote,1765981800000,short,range,,premium,true,0.3756710936732858
1h,BTC/USDT,30m,ote,1765899000000,short,range,,premium,true,-1.0197540411784811
1h,BTC/USDT,30m,ote,1765985400000,long,range,,premium,false,0.32367716715910083
1h,BTC/USDT,30m,deep,1765987200000,long,range,,premium,false,-1.1597348877529639
1h,BTC/USDT,30m,ote,1766046600000,short,range,,premium,true,0.36290097559653
1h,BTC/USDT,30m,deep,1766064600000,short,range,,premium,true,1.2743873476933776
1h,BTC/USDT,30m,ote,1766113200000,short,range,,discount,false,-1.0297246086407024
1h,BTC/USDT,30m,deep,1766127600000,short,range,,premium,true,-1.0619014198732775
1h,BTC/USDT,30m,breaker,1766320200000,long,range,,discount,true,0.017596473607035062
1h,BTC/USDT,30m,ote,1766430000000,long,range,,discount,true,1.4045573946632157
1h,BTC/USDT,30m,breaker,1766505600000,short,bearish,true,premium,true,0.1636360875090776
1h,BTC/USDT,30m,breaker,1766680200000,long,bearish,false,premium,false,0.06435557441974529
1h,BTC/USDT,30m,breaker,1766734200000,long,range,,premium,false,0.13979903741804312
1h,BTC/USDT,30m,breaker,1767000600000,long,range,,discount,true,0.11937471017202628
1h,BTC/USDT,30m,breaker,1767000600000,long,range,,premium,false,0.1570103211493105
1h,BTC/USDT,30m,breaker,1767294000000,long,range,,premium,false,0.7196815432986063
1h,BTC/USDT,30m,breaker,1767551400000,long,bearish,false,discount,true,0.8447346668448257
1h,BTC/USDT,30m,ote,1767720600000,long,range,,discount,true,0.2437082542924702
1h,BTC/USDT,30m,deep,1767798000000,long,bearish,false,discount,true,-1.3369354349105065
1h,BTC/USDT,30m,breaker,1767720600000,long,range,,discount,true,0.08432998787388404
1h,BTC/USDT,30m,ote,1767810600000,long,bearish,false,discount,true,0.37846715171001394
1h,BTC/USDT,30m,ote,1767720600000,long,range,,discount,true,0.3801716191029567
1h,BTC/USDT,30m,ote,1767972600000,short,range,,premium,true,-1.043807093152933
1h,BTC/USDT,30m,breaker,1767891600000,short,bearish,true,premium,true,-1.0342825752182052
1h,BTC/USDT,30m,ote,1768206600000,long,range,,discount,true,-1.1666615444277761
1h,BTC/USDT,30m,deep,1768206600000,long,range,,discount,true,-1.3421810835608086
1h,BTC/USDT,30m,breaker,1768206600000,long,range,,discount,true,-1.131145773920231
1h,BTC/USDT,30m,ote,1768203000000,long,range,,premium,false,-1.0844259800633398
1h,BTC/USDT,30m,deep,1768206600000,long,range,,discount,true,-1.172973875208863
1h,BTC/USDT,30m,ote,1768575600000,long,range,,discount,true,-1.0223030465187535
1h,BTC/USDT,30m,breaker,1768584600000,short,range,,discount,false,0.041993500263924344
1h,BTC/USDT,30m,ote,1769020200000,short,bullish,false,discount,false,-1.0566812022957313
1h,BTC/USDT,30m,deep,1769022000000,short,bullish,false,premium,true,-1.1173670811634686
1h,BTC/USDT,30m,ote,1769196600000,long,range,,premium,false,-1.1118332883929551
1h,BTC/USDT,30m,deep,1769304600000,long,bearish,false,discount,true,-1.229366923237862
1h,BTC/USDT,30m,breaker,1769194800000,long,range,,premium,false,-1.0880507646768627
1h,BTC/USDT,30m,breaker,1769437800000,short,range,,premium,true,0.16296676320803208
1h,BTC/USDT,30m,ote,1769486400000,short,range,,premium,true,1.4188206489149136
1h,BTC/USDT,30m,breaker,1769634000000,long,bullish,true,discount,true,-1.06566131476442
1h,BTC/USDT,30m,breaker,1769610600000,long,range,,premium,false,0.04171559256662115
1h,BTC/USDT,30m,breaker,1769799600000,short,bullish,false,premium,true,0.8940758470108832
1h,BTC/USDT,30m,ote,1770148800000,short,range,,discount,false,1.406480934007025
1h,BTC/USDT,30m,ote,1770229800000,short,bearish,true,discount,false,1.4030268329261921
1h,BTC/USDT,30m,breaker,1770593400000,long,bullish,true,discount,true,0.16217048337872267
1h,BTC/USDT,30m,breaker,1770818400000,short,bearish,true,premium,true,0.1625713418718985
1h,BTC/USDT,30m,ote,1770935400000,short,range,,discount,false,-1.0449798588079693
1h,BTC/USDT,30m,deep,1770987600000,short,range,,premium,true,-1.0932904948247744
1h,BTC/USDT,30m,ote,1771144200000,long,range,,premium,false,-1.0890732718557545
1h,BTC/USDT,30m,deep,1771158600000,long,range,,discount,true,-1.1825361038707394
1h,BTC/USDT,30m,breaker,1771243200000,short,range,,premium,true,0.15298186048195417
1h,BTC/USDT,30m,ote,1771243200000,short,range,,premium,true,0.3462852142646584
1h,BTC/USDT,30m,deep,1771246800000,short,range,,premium,true,3.9041320461023457
1h,BTC/USDT,30m,ote,1771273800000,short,range,,discount,false,0.3427300985548154
1h,BTC/USDT,30m,ote,1771344000000,short,range,,discount,false,0.3405757219809197
1h,BTC/USDT,30m,ote,1771473600000,short,bearish,true,discount,false,0.33725983770029233
1h,BTC/USDT,30m,breaker,1771462800000,short,bearish,true,discount,false,0.1583109324324324
1h,BTC/USDT,30m,breaker,1771587000000,long,bullish,true,premium,false,0.15354502010330265
1h,BTC/USDT,30m,breaker,1771774200000,short,bullish,false,discount,false,0.012043525641024178
1h,BTC/USDT,30m,ote,1771839000000,short,bearish,true,premium,true,0.37841459721394194
1h,BTC/USDT,30m,breaker,1772123400000,long,range,,discount,true,0.1841567863305211
1h,BTC/USDT,30m,ote,1772118000000,long,range,,discount,true,0.37766142380326295
1h,BTC/USDT,30m,ote,1772062200000,long,range,,premium,false,0.38033011439889686
1h,BTC/USDT,30m,breaker,1772307000000,short,bearish,true,premium,true,0.15506740618484963
1h,BTC/USDT,30m,ote,1772303400000,short,bearish,true,premium,true,-1.0229199281384753
1h,BTC/USDT,30m,ote,1772285400000,short,bearish,true,premium,true,-1.0193135080856137
1h,BTC/USDT,30m,ote,1772395200000,long,bearish,false,discount,true,1.3961715824132077
1h,BTC/USDT,30m,breaker,1772326800000,long,range,,premium,false,0.17640156909151186
1h,BTC/USDT,30m,ote,1772530200000,long,range,,discount,true,0.338162766772273
1h,BTC/USDT,30m,breaker,1772526600000,long,range,,discount,true,0.15857123468300666
1h,BTC/USDT,30m,ote,1772526600000,long,range,,discount,true,0.3754522058928761
1h,BTC/USDT,30m,ote,1772771400000,long,bearish,false,discount,true,0.38427223543331723
1h,BTC/USDT,30m,breaker,1772778600000,short,bearish,true,discount,false,0.1050625697471677
1h,BTC/USDT,30m,ote,1773034200000,short,bearish,true,premium,true,-1.0162615268144195
1h,BTC/USDT,30m,ote,1773228600000,long,range,,discount,true,1.3447459088899412
1h,BTC/USDT,30m,breaker,1773115200000,long,bullish,true,premium,false,0.8428204843875073
1h,BTC/USDT,30m,ote,1773439200000,long,range,,discount,true,1.3728571122769146
1h,BTC/USDT,30m,breaker,1773423000000,long,bullish,true,discount,true,0.8649158902496487
1h,BTC/USDT,30m,breaker,1773415800000,long,bullish,true,premium,false,0.11654610730809262
1h,BTC/USDT,30m,breaker,1774263600000,short,bullish,false,premium,true,0.18864159792007443
1h,BTC/USDT,30m,ote,1774263600000,short,bullish,false,premium,true,0.3806559175609962
1h,BTC/USDT,30m,ote,1774234800000,short,range,,premium,true,0.3142766159473607
1h,BTC/USDT,30m,deep,1774263600000,short,bullish,false,premium,true,-1.1858061051380004
1h,BTC/USDT,30m,breaker,1774218600000,short,bearish,true,discount,false,0.14024612013462304
1h,BTC/USDT,30m,ote,1774389600000,short,range,,premium,true,-1.1102869019495474
1h,BTC/USDT,30m,deep,1774398600000,short,range,,premium,true,-1.227665719718175
1h,BTC/USDT,30m,breaker,1774364400000,short,range,,discount,false,0.12539791684853727
1h,BTC/USDT,30m,breaker,1774837800000,short,bearish,true,premium,true,-1.0207472350475542
1h,BTC/USDT,30m,breaker,1774828800000,short,bearish,true,discount,false,0.1057215212373056
1h,BTC/USDT,30m,breaker,1774890000000,long,bullish,true,discount,true,0.1626257260413621
1h,BTC/USDT,30m,breaker,1775428200000,short,range,,premium,true,-1.0761922392564933
1h,BTC/USDT,30m,breaker,1775516400000,long,bullish,true,discount,true,0.8817465119811008
1h,BTC/USDT,30m,ote,1775516400000,long,bullish,true,discount,true,1.4063199665324237
1h,BTC/USDT,30m,breaker,1775575800000,short,range,,discount,false,-1.0970373676248109
1h,BTC/USDT,30m,ote,1775957400000,long,range,,discount,true,-1.1126419700364776
1h,BTC/USDT,30m,deep,1775957400000,long,range,,discount,true,-1.231030859813274
1h,BTC/USDT,30m,breaker,1775835000000,long,bearish,false,premium,false,0.12189585358337852
1h,BTC/USDT,30m,ote,1775860200000,long,bearish,false,premium,false,-1.073524153483837
1h,BTC/USDT,30m,deep,1775957400000,long,range,,discount,true,-1.1505423681630773
1h,BTC/USDT,30m,breaker,1776205800000,long,bullish,true,discount,true,0.17596850024131347
1h,BTC/USDT,30m,ote,1776191400000,long,bullish,true,discount,true,0.3689510660061773
1h,BTC/USDT,30m,breaker,1776596400000,short,bearish,true,premium,true,-0.013973651095207137
1h,BTC/USDT,30m,breaker,1776666600000,short,bearish,true,premium,true,-1.0768459765937342
1h,BTC/USDT,30m,breaker,1776938400000,long,range,,discount,true,0.1598303260771681
1h,BTC/USDT,30m,breaker,1777437000000,short,range,,premium,true,0.16045841139578407
1h,BTC/USDT,30m,breaker,1777406400000,short,bearish,true,premium,true,-1.1025666666666667
1h,BTC/USDT,30m,breaker,1777888800000,long,range,,discount,true,0.17466515755053585
1h,BTC/USDT,30m,breaker,1777766400000,long,bullish,true,discount,true,0.010358670415550782
1h,BTC/USDT,30m,ote,1777888800000,long,range,,discount,true,0.3675778505686101
1h,BTC/USDT,30m,ote,1777973400000,long,range,,premium,false,1.312838918910057
1h,BTC/USDT,30m,breaker,1777960800000,long,bearish,false,premium,false,0.10544380611858131
1h,BTC/USDT,30m,breaker,1778074200000,long,range,,premium,false,-1.1130052317485568
1h,BTC/USDT,30m,ote,1778349600000,short,range,,premium,true,0.340102534407924
1h,BTC/USDT,30m,breaker,1778295600000,short,range,,premium,true,0.1605452920446304
1h,BTC/USDT,30m,breaker,1778443200000,long,bullish,true,discount,true,-0.0018859347399370965
1h,BTC/USDT,30m,ote,1778464800000,long,range,,discount,true,-1.0561251340900484
1h,BTC/USDT,30m,ote,1778612400000,short,bearish,true,premium,true,0.3187999066453684
1h,BTC/USDT,30m,deep,1778774400000,short,bullish,false,premium,true,3.8519287795970456
1h,BTC/USDT,30m,ote,1778767200000,short,bullish,false,premium,true,1.389306473413766
1h,BTC/USDT,30m,deep,1778774400000,short,bullish,false,premium,true,3.915476670427304
1h,BTC/USDT,30m,breaker,1779107400000,short,range,,premium,true,0.08576277639971577
1h,BTC/USDT,30m,breaker,1779123600000,short,bullish,false,discount,false,0.1217838241932771
1h,BTC/USDT,30m,breaker,1779283800000,long,range,,premium,false,0.025182822088643496
1h,BTC/USDT,30m,breaker,1779372000000,short,bullish,false,discount,false,0.10439105766335786
1h,BTC/USDT,30m,breaker,1779568200000,short,bullish,false,premium,true,0.14165097094801404
1h,BTC/USDT,30m,ote,1779568200000,short,bullish,false,premium,true,1.3768297466725903
1h,BTC/USDT,30m,deep,1779570000000,short,bullish,false,premium,true,3.8898046620017066
1h,BTC/USDT,30m,breaker,1779566400000,short,bullish,false,premium,true,0.8683379808846624
1h,BTC/USDT,30m,ote,1779568200000,short,bullish,false,premium,true,1.415202842792063
1h,BTC/USDT,30m,deep,1779568200000,short,bullish,false,premium,true,3.9187026241057588
1h,BTC/USDT,30m,ote,1779568200000,short,bullish,false,premium,true,1.4164986528896961
1h,BTC/USDT,30m,deep,1779568200000,short,bullish,false,premium,true,3.93383363280985
1h,BTC/USDT,30m,ote,1780020000000,long,bullish,true,discount,true,-1.12543178804938
1h,BTC/USDT,30m,deep,1780059600000,long,range,,discount,true,-1.2573470822167885
1h,BTC/USDT,30m,breaker,1780065000000,short,range,,discount,false,0.07826008869032053
1h,BTC/USDT,30m,breaker,1780263000000,short,bearish,true,premium,true,0.013352499999999996
1h,BTC/USDT,30m,ote,1780644600000,short,range,,discount,false,0.3523473464627035
1h,BTC/USDT,30m,deep,1780869600000,short,bearish,true,premium,true,1.2526722887949902
1h,BTC/USDT,30m,ote,1781024400000,short,bearish,true,discount,false,-1.036218576541177
1h,BTC/USDT,30m,ote,1781575200000,long,bullish,true,discount,true,0.20448787253155512
1h,BTC/USDT,30m,deep,1781618400000,long,range,,discount,true,0.9506588162560172
1h,BTC/USDT,30m,breaker,1781575200000,long,bullish,true,discount,true,0.053502767809798187
1h,BTC/USDT,30m,ote,1781710200000,short,range,,premium,true,-1.1279335963854529
1h,BTC/USDT,30m,deep,1781712000000,short,range,,premium,true,-1.2639754103637904
1h,BTC/USDT,30m,breaker,1781703000000,short,range,,discount,false,0.11251835086667397
1h,BTC/USDT,30m,breaker,1781917200000,long,bullish,true,premium,false,0.08676423832043396
1h,BTC/USDT,30m,ote,1782075600000,long,range,,discount,true,1.272891197403845
1h,BTC/USDT,30m,deep,1782084600000,long,range,,discount,true,3.6774222019879828
1h,BTC/USDT,30m,breaker,1781976600000,long,bearish,false,premium,false,0.07142832125603912
1h,BTC/USDT,30m,ote,1782145800000,long,bullish,true,premium,false,-1.1178863277458622
1h,BTC/USDT,30m,deep,1782163800000,long,bullish,true,discount,true,-1.2418216063043122
1h,BTC/USDT,30m,breaker,1782142200000,long,bullish,true,premium,false,-1.0928084536082474
1h,BTC/USDT,30m,breaker,1782372600000,short,range,,premium,true,0.8550324858166599
1h,BTC/USDT,30m,breaker,1782333000000,short,range,,discount,false,0.16802207963568372
1h,BTC/USDT,30m,breaker,1782331200000,short,range,,discount,false,0.17725918889204154
1h,BTC/USDT,30m,breaker,1782579600000,long,range,,premium,false,0.007226240256475669
1h,BTC/USDT,30m,breaker,1782684000000,short,bearish,true,discount,false,0.09761702660677406
1h,BTC/USDT,30m,breaker,1782869400000,short,bearish,true,premium,true,-1.0447802010372667
