ladder,symbol,timeframe,scenario,entryAt,direction,netR
t100-241,BTC/USDT,15m,ote,1767887100000,short,-1.032135486131912
t100-141-241,BTC/USDT,15m,ote,1767887100000,short,-1.032135486131912
t100-161-241,BTC/USDT,15m,ote,1767887100000,short,-1.032135486131912
t100-only,BTC/USDT,15m,ote,1767887100000,short,-1.032135486131912
canon,BTC/USDT,15m,ote,1768164300000,short,0.1892896519185453
t100-241,BTC/USDT,15m,ote,1768164300000,short,-0.07165500456999954
t100-141-241,BTC/USDT,15m,ote,1768164300000,short,-0.12238475708490631
t100-161-241,BTC/USDT,15m,ote,1768164300000,short,-0.12238475708490631
t100-only,BTC/USDT,15m,ote,1768164300000,short,0.08053425297472082
canon,BTC/USDT,15m,deep,1768173300000,short,-1.4627607068643145
t100-241,BTC/USDT,15m,deep,1768173300000,short,-1.4627607068643145
t100-141-241,BTC/USDT,15m,deep,1768173300000,short,-1.4627607068643145
t100-161-241,BTC/USDT,15m,deep,1768173300000,short,-1.4627607068643145
t100-only,BTC/USDT,15m,deep,1768173300000,short,-1.4627607068643145
canon,BTC/USDT,15m,ote,1768206600000,long,-1.1666615444277761
t100-241,BTC/USDT,15m,ote,1768206600000,long,-0.019342899033348307
t100-141-241,BTC/USDT,15m,ote,1768206600000,long,-0.06868244749815758
t100-161-241,BTC/USDT,15m,ote,1768206600000,long,-0.06868244749815758
t100-only,BTC/USDT,15m,ote,1768206600000,long,0.1286757463610795
canon,BTC/USDT,15m,deep,1768206600000,long,-1.3421810835608088
t100-241,BTC/USDT,15m,deep,1768206600000,long,0.49010649570622833
t100-141-241,BTC/USDT,15m,deep,1768206600000,long,0.21244396928388265
t100-161-241,BTC/USDT,15m,deep,1768206600000,long,0.21244396928388265
t100-only,BTC/USDT,15m,deep,1768206600000,long,1.3230940749732654
canon,BTC/USDT,15m,ote,1768203000000,long,-1.0844259800633398
t100-241,BTC/USDT,15m,ote,1768203000000,long,-1.0844259800633398
