ladder,symbol,timeframe,scenario,entryAt,direction,netR
t100-241,XRP/USDT,30m,ote,1751367600000,long,0.1137838323984649
t100-141-241,XRP/USDT,30m,ote,1751367600000,long,0.33349910308858055
t100-161-241,XRP/USDT,30m,ote,1751367600000,long,0.06785778986780636
t100-only,XRP/USDT,30m,ote,1751367600000,long,0.25156195999044056
canon,XRP/USDT,30m,ote,1752156000000,long,1.346516621595389
t100-241,XRP/USDT,30m,ote,1752156000000,long,0.04637095414141776
t100-141-241,XRP/USDT,30m,ote,1752156000000,long,-0.0012836237291637131
t100-161-241,XRP/USDT,30m,ote,1752156000000,long,-0.0012836237291637131
t100-only,XRP/USDT,30m,ote,1752156000000,long,0.18933468775316215
canon,XRP/USDT,30m,ote,1752541200000,long,1.3965906234953134
t100-241,XRP/USDT,30m,ote,1752541200000,long,0.1006177895329837
t100-141-241,XRP/USDT,30m,ote,1752541200000,long,0.054354156159620165
t100-161-241,XRP/USDT,30m,ote,1752541200000,long,0.054354156159620165
t100-only,XRP/USDT,30m,ote,1752541200000,long,0.23940868965307427
canon,XRP/USDT,30m,deep,1752548400000,long,3.931945104888267
t100-241,XRP/USDT,30m,deep,1752548400000,long,3.395564214835912
t100-141-241,XRP/USDT,30m,deep,1752548400000,long,3.1382758204205525
t100-161-241,XRP/USDT,30m,deep,1752548400000,long,3.3127086301936783
t100-only,XRP/USDT,30m,deep,1752548400000,long,1.5509372514851238
canon,XRP/USDT,30m,ote,1752523200000,long,1.4153006415487706
t100-241,XRP/USDT,30m,ote,1752523200000,long,1.1546167993095844
t100-141-241,XRP/USDT,30m,ote,1752523200000,long,1.0295733302680237
t100-161-241,XRP/USDT,30m,ote,1752523200000,long,1.1143485635165389
t100-only,XRP/USDT,30m,ote,1752523200000,long,0.25811870770653006
canon,XRP/USDT,30m,ote,1753099200000,long,0.3575800130225087
t100-241,XRP/USDT,30m,ote,1753099200000,long,0.09689617078332181
t100-141-241,XRP/USDT,30m,ote,1753099200000,long,0.3170444584379294
t100-161-241,XRP/USDT,30m,ote,1753099200000,long,0.4018196916864452
t100-only,XRP/USDT,30m,ote,1753099200000,long,0.2359733492687709
canon,XRP/USDT,30m,deep,1753158600000,long,-1.0846106598268903
t100-241,XRP/USDT,30m,deep,1753158600000,long,0.729279032030606
t100-141-241,XRP/USDT,30m,deep,1753158600000,long,0.4577491347447739
t100-161-241,XRP/USDT,30m,deep,1753158600000,long,0.4577491347447739
t100-only,XRP/USDT,30m,deep,1753158600000,long,1.5438687238881021
canon,XRP/USDT,30m,ote,1754811000000,long,-1.0087539625874022
t100-241,XRP/USDT,30m,ote,1754811000000,long,0.1272855698184228
t100-141-241,XRP/USDT,30m,ote,1754811000000,long,0.0817057256831478
t100-161-241,XRP/USDT,30m,ote,1754811000000,long,0.0817057256831478
t100-only,XRP/USDT,30m,ote,1754811000000,long,0.26402510222424785
canon,XRP/USDT,30m,ote,1754877600000,short,0.35940822683276263
t100-241,XRP/USDT,30m,ote,1754877600000,short,0.09846357034421233
t100-141-241,XRP/USDT,30m,ote,1754877600000,short,0.052095832570692995
t100-161-241,XRP/USDT,30m,ote,1754877600000,short,0.052095832570692995
t100-only,XRP/USDT,30m,ote,1754877600000,short,0.23756678366477033
canon,XRP/USDT,30m,deep,1754899200000,short,1.2672006970956808
t100-241,XRP/USDT,30m,deep,1754899200000,short,0.7302831578286648
t100-141-241,XRP/USDT,30m,deep,1754899200000,short,1.3600227090240906
t100-161-241,XRP/USDT,30m,deep,1754899200000,short,1.5346300388670209
t100-only,XRP/USDT,30m,deep,1754899200000,short,1.5456667328809097
canon,XRP/USDT,30m,ote,1754906400000,long,-1.0451038473926626
t100-241,XRP/USDT,30m,ote,1754906400000,long,0.093532105356394
t100-141-241,XRP/USDT,30m,ote,1754906400000,long,0.047086787773375084
t100-161-241,XRP/USDT,30m,ote,1754906400000,long,0.047086787773375084
t100-only,XRP/USDT,30m,ote,1754906400000,long,0.23286805810545072
canon,XRP/USDT,30m,deep,1754915400000,long,-1.092064984425741
t100-241,XRP/USDT,30m,deep,1754915400000,long,-1.092064984425741
t100-141-241,XRP/USDT,30m,deep,1754915400000,long,-1.092064984425741
t100-161-241,XRP/USDT,30m,deep,1754915400000,long,-1.092064984425741
t100-only,XRP/USDT,30m,deep,1754915400000,long,-1.092064984425741
canon,XRP/USDT,30m,ote,1755001800000,short,-1.0328952744045123
t100-241,XRP/USDT,30m,ote,1755001800000,short,-1.0328952744045123
t100-141-241,XRP/USDT,30m,ote,1755001800000,short,-1.0328952744045123
t100-161-241,XRP/USDT,30m,ote,1755001800000,short,-1.0328952744045123
t100-only,XRP/USDT,30m,ote,1755001800000,short,-1.0328952744045123
canon,XRP/USDT,30m,ote,1755538200000,short,0.38507549258813806
t100-241,XRP/USDT,30m,ote,1755538200000,short,0.12413083609958855
t100-141-241,XRP/USDT,30m,ote,1755538200000,short,0.3438035431794384
t100-161-241,XRP/USDT,30m,ote,1755538200000,short,0.07842123334543837
t100-only,XRP/USDT,30m,ote,1755538200000,short,0.26125964436203913
canon,XRP/USDT,30m,deep,1755538200000,short,1.2915463380812253
t100-241,XRP/USDT,30m,deep,1755538200000,short,0.7546287988142102
t100-141-241,XRP/USDT,30m,deep,1755538200000,short,1.3837441028048778
t100-161-241,XRP/USDT,30m,deep,1755538200000,short,1.5583514326478096
t100-only,XRP/USDT,30m,deep,1755538200000,short,1.5681396322521834
canon,XRP/USDT,30m,ote,1755916200000,long,-1.0201038047340403
t100-241,XRP/USDT,30m,ote,1755916200000,long,0.11674643068225932
t100-141-241,XRP/USDT,30m,ote,1755916200000,long,0.07089635221015939
t100-161-241,XRP/USDT,30m,ote,1755916200000,long,0.07089635221015939
t100-only,XRP/USDT,30m,ote,1755916200000,long,0.254296666098559
canon,XRP/USDT,30m,ote,1756063800000,long,-1.0164764055687914
t100-241,XRP/USDT,30m,ote,1756063800000,long,0.12011472990713283
t100-141-241,XRP/USDT,30m,ote,1756063800000,long,0.07435101808182475
t100-161-241,XRP/USDT,30m,ote,1756063800000,long,0.07435101808182475
t100-only,XRP/USDT,30m,ote,1756063800000,long,0.2574058653830571
canon,XRP/USDT,30m,ote,1756193400000,short,0.3060169259025468
t100-241,XRP/USDT,30m,ote,1756193400000,short,0.045072269413994184
t100-141-241,XRP/USDT,30m,ote,1756193400000,short,-0.002664476075684749
t100-161-241,XRP/USDT,30m,ote,1756193400000,short,-0.002664476075684749
t100-only,XRP/USDT,30m,ote,1756193400000,short,0.18828250588303094
canon,XRP/USDT,30m,deep,1756225800000,short,-1.204108487186553
t100-241,XRP/USDT,30m,deep,1756225800000,short,-1.204108487186553
t100-141-241,XRP/USDT,30m,deep,1756225800000,short,-1.204108487186553
t100-161-241,XRP/USDT,30m,deep,1756225800000,short,-1.204108487186553
t100-only,XRP/USDT,30m,deep,1756225800000,short,-1.204108487186553
canon,XRP/USDT,30m,ote,1756418400000,short,1.368508279506747
t100-241,XRP/USDT,30m,ote,1756418400000,short,1.1075636230181987
t100-141-241,XRP/USDT,30m,ote,1756418400000,short,0.9823950479545853
t100-161-241,XRP/USDT,30m,ote,1756418400000,short,1.06725509884517
t100-only,XRP/USDT,30m,ote,1756418400000,short,0.2101685848502623
canon,XRP/USDT,30m,ote,1756711800000,short,-1.0354272768498223
t100-241,XRP/USDT,30m,ote,1756711800000,short,0.10395362460455397
t100-141-241,XRP/USDT,30m,ote,1756711800000,short,0.057726657453095166
t100-161-241,XRP/USDT,30m,ote,1756711800000,short,0.057726657453095166
t100-only,XRP/USDT,30m,ote,1756711800000,short,0.24263452605893032
canon,XRP/USDT,30m,deep,1756713600000,short,-1.0736351822093204
t100-241,XRP/USDT,30m,deep,1756713600000,short,0.7415794474847626
t100-141-241,XRP/USDT,30m,deep,1756713600000,short,0.4700745709200682
t100-161-241,XRP/USDT,30m,deep,1756713600000,short,0.4700745709200682
t100-only,XRP/USDT,30m,deep,1756713600000,short,1.5560940771788454
canon,XRP/USDT,30m,ote,1760662800000,short,0.3849095123825349
t100-241,XRP/USDT,30m,ote,1760662800000,short,0.12396485589398588
t100-141-241,XRP/USDT,30m,ote,1760662800000,short,0.3436418188765431
t100-161-241,XRP/USDT,30m,ote,1760662800000,short,0.078250997237128
t100-only,XRP/USDT,30m,ote,1760662800000,short,0.2611064318645596
canon,XRP/USDT,30m,ote,1760716800000,short,-1.0354779534407117
t100-241,XRP/USDT,30m,ote,1760716800000,short,0.10390656777015837
t100-141-241,XRP/USDT,30m,ote,1760716800000,short,0.057678394033201665
t100-161-241,XRP/USDT,30m,ote,1760716800000,short,0.057678394033201665
t100-only,XRP/USDT,30m,ote,1760716800000,short,0.24259108898102846
canon,XRP/USDT,30m,deep,1760770800000,short,-1.073739453938218
t100-241,XRP/USDT,30m,deep,1760770800000,short,-1.073739453938218
t100-141-241,XRP/USDT,30m,deep,1760770800000,short,-1.073739453938218
t100-161-241,XRP/USDT,30m,deep,1760770800000,short,-1.073739453938218
t100-only,XRP/USDT,30m,deep,1760770800000,short,-1.073739453938218
canon,XRP/USDT,30m,ote,1760877000000,long,0.3283518406616679
t100-241,XRP/USDT,30m,ote,1760877000000,long,0.06766799842248349
t100-141-241,XRP/USDT,30m,ote,1760877000000,long,0.020559498610388565
t100-161-241,XRP/USDT,30m,ote,1760877000000,long,0.020559498610388565
t100-only,XRP/USDT,30m,ote,1760877000000,long,0.2089934978587681
canon,XRP/USDT,30m,ote,1760977800000,long,0.36975261253696956
t100-241,XRP/USDT,30m,ote,1760977800000,long,0.10906877029778383
t100-141-241,XRP/USDT,30m,ote,1760977800000,long,0.3289049400161223
t100-161-241,XRP/USDT,30m,ote,1760977800000,long,0.06302182873890252
t100-only,XRP/USDT,30m,ote,1760977800000,long,0.24720959497442774
canon,XRP/USDT,30m,ote,1761055200000,short,0.36484732500283695
t100-241,XRP/USDT,30m,ote,1761055200000,short,0.10390266851428788
t100-141-241,XRP/USDT,30m,ote,1761055200000,short,0.05767439479641144
t100-161-241,XRP/USDT,30m,ote,1761055200000,short,0.05767439479641144
t100-only,XRP/USDT,30m,ote,1761055200000,short,0.24258748966791718
canon,XRP/USDT,30m,deep,1761058800000,short,1.2783921399273028
t100-241,XRP/USDT,30m,deep,1761058800000,short,0.7414746006602884
t100-141-241,XRP/USDT,30m,deep,1761058800000,short,1.3709271917831083
t100-161-241,XRP/USDT,30m,deep,1761058800000,short,1.545534521626042
t100-only,XRP/USDT,30m,deep,1761058800000,short,1.555997295494719
canon,XRP/USDT,30m,ote,1761199200000,short,-1.0222519109671782
t100-241,XRP/USDT,30m,ote,1761199200000,short,-1.0222519109671782
t100-141-241,XRP/USDT,30m,ote,1761199200000,short,-1.0222519109671782
t100-161-241,XRP/USDT,30m,ote,1761199200000,short,-1.0222519109671782
t100-only,XRP/USDT,30m,ote,1761199200000,short,-1.0222519109671782
canon,XRP/USDT,30m,ote,1761595200000,long,-1.0706452983951371
t100-241,XRP/USDT,30m,ote,1761595200000,long,0.06981504371123866
t100-141-241,XRP/USDT,30m,ote,1761595200000,long,0.022761596342446743
t100-161-241,XRP/USDT,30m,ote,1761595200000,long,0.022761596342446743
t100-only,XRP/USDT,30m,ote,1761595200000,long,0.21097538581761435
canon,XRP/USDT,30m,deep,1761616800000,long,-1.1446188600486338
t100-241,XRP/USDT,30m,deep,1761616800000,long,0.6735571318247046
t100-141-241,XRP/USDT,30m,deep,1761616800000,long,0.40059846786692493
t100-161-241,XRP/USDT,30m,deep,1761616800000,long,0.40059846786692493
t100-only,XRP/USDT,30m,deep,1761616800000,long,1.492433123698043
canon,XRP/USDT,30m,ote,1761697800000,short,0.35436873749107484
t100-241,XRP/USDT,30m,ote,1761697800000,short,0.09342408100252553
t100-141-241,XRP/USDT,30m,ote,1761697800000,short,0.3138841407771723
t100-161-241,XRP/USDT,30m,ote,1761697800000,short,0.04692712555357828
t100-only,XRP/USDT,30m,ote,1761697800000,short,0.2329149473493672
canon,XRP/USDT,30m,deep,1761732000000,short,3.919485205802603
t100-241,XRP/USDT,30m,deep,1761732000000,short,3.38256766653559
t100-141-241,XRP/USDT,30m,deep,1761732000000,short,3.1250218550172657
t100-161-241,XRP/USDT,30m,deep,1761732000000,short,3.2996291848601995
t100-only,XRP/USDT,30m,deep,1761732000000,short,1.5360951534465916
canon,XRP/USDT,30m,ote,1761789600000,short,0.3547933738844048
t100-241,XRP/USDT,30m,ote,1761789600000,short,0.0938487173958546
t100-141-241,XRP/USDT,30m,ote,1761789600000,short,0.31429788905785205
t100-161-241,XRP/USDT,30m,ote,1761789600000,short,0.39915793994843696
t100-only,XRP/USDT,30m,ote,1761789600000,short,0.23330691940474668
canon,XRP/USDT,30m,ote,1761804000000,short,1.4077914575451596
t100-241,XRP/USDT,30m,ote,1761804000000,short,1.1468468010566104
t100-141-241,XRP/USDT,30m,ote,1761804000000,short,1.0216782259929975
t100-161-241,XRP/USDT,30m,ote,1761804000000,short,1.1065382768835827
t100-only,XRP/USDT,30m,ote,1761804000000,short,0.24945176288867296
canon,XRP/USDT,30m,ote,1761910200000,short,1.3958804460573686
t100-241,XRP/USDT,30m,ote,1761910200000,short,0.0984353687250009
t100-141-241,XRP/USDT,30m,ote,1761910200000,short,0.052066907833040604
t100-161-241,XRP/USDT,30m,ote,1761910200000,short,0.052066907833040604
t100-only,XRP/USDT,30m,ote,1761910200000,short,0.23754075140088177
canon,XRP/USDT,30m,deep,1761939000000,short,3.92900322146885
t100-241,XRP/USDT,30m,deep,1761939000000,short,0.7302251304132277
t100-141-241,XRP/USDT,30m,deep,1761939000000,short,0.45842911751336307
t100-161-241,XRP/USDT,30m,deep,1761939000000,short,0.45842911751336307
t100-only,XRP/USDT,30m,deep,1761939000000,short,1.5456131691128214
canon,XRP/USDT,30m,ote,1762117200000,short,1.3723984732824355
t100-241,XRP/USDT,30m,ote,1762117200000,short,0.07299656488549541
t100-141-241,XRP/USDT,30m,ote,1762117200000,short,0.025975826972009727
t100-161-241,XRP/USDT,30m,ote,1762117200000,short,0.025975826972009727
t100-only,XRP/USDT,30m,ote,1762117200000,short,0.21405877862595246
canon,XRP/USDT,30m,deep,1762126200000,short,3.8806869109947293
t100-241,XRP/USDT,30m,deep,1762126200000,short,3.3437693717277206
t100-141-241,XRP/USDT,30m,deep,1762126200000,short,3.0862235602093966
t100-161-241,XRP/USDT,30m,deep,1762126200000,short,3.260830890052329
t100-only,XRP/USDT,30m,deep,1762126200000,short,1.4972968586387299
canon,XRP/USDT,30m,ote,1762257600000,short,1.3966947519083959
t100-241,XRP/USDT,30m,ote,1762257600000,short,0.0993175333969466
t100-141-241,XRP/USDT,30m,ote,1762257600000,short,0.052971692111959304
t100-161-241,XRP/USDT,30m,ote,1762257600000,short,0.052971692111959304
t100-only,XRP/USDT,30m,ote,1762257600000,short,0.23835505725190853
canon,XRP/USDT,30m,deep,1762268400000,short,3.930678730366486
t100-241,XRP/USDT,30m,deep,1762268400000,short,3.3937611910994723
t100-141-241,XRP/USDT,30m,deep,1762268400000,short,3.1362153795811474
t100-161-241,XRP/USDT,30m,deep,1762268400000,short,3.31082270942408
t100-only,XRP/USDT,30m,deep,1762268400000,short,1.54728867801047
canon,XRP/USDT,30m,ote,1763956800000,long,0.3396240178841641
t100-241,XRP/USDT,30m,ote,1763956800000,long,0.07894017564497662
t100-141-241,XRP/USDT,30m,ote,1763956800000,long,0.03212070601807465
t100-161-241,XRP/USDT,30m,ote,1763956800000,long,0.03212070601807465
t100-only,XRP/USDT,30m,ote,1763956800000,long,0.21939858452568253
canon,XRP/USDT,30m,deep,1763974800000,long,3.890772480202105
t100-241,XRP/USDT,30m,deep,1763974800000,long,0.6923329268506682
t100-141-241,XRP/USDT,30m,deep,1763974800000,long,0.41985569353457836
t100-161-241,XRP/USDT,30m,deep,1763974800000,long,0.41985569353457836
t100-only,XRP/USDT,30m,deep,1763974800000,long,1.5097646267989373
canon,XRP/USDT,30m,ote,1764097200000,long,-1.008416992137459
t100-241,XRP/USDT,30m,ote,1764097200000,long,0.12759847095051277
t100-141-241,XRP/USDT,30m,ote,1764097200000,long,0.08202664992118884
t100-161-241,XRP/USDT,30m,ote,1764097200000,long,0.08202664992118884
t100-only,XRP/USDT,30m,ote,1764097200000,long,0.26431393403848463
canon,XRP/USDT,30m,ote,1764325800000,long,0.3434892841711116
t100-241,XRP/USDT,30m,ote,1764325800000,long,0.0828054419319239
t100-141-241,XRP/USDT,30m,ote,1764325800000,long,0.303315030326312
t100-161-241,XRP/USDT,30m,ote,1764325800000,long,0.03608508169699435
t100-only,XRP/USDT,30m,ote,1764325800000,long,0.22296652263671263
canon,XRP/USDT,30m,deep,1764327600000,long,1.236666956435846
t100-241,XRP/USDT,30m,deep,1764327600000,long,0.7002860663834864
t100-141-241,XRP/USDT,30m,deep,1764327600000,long,1.330146633079792
t100-161-241,XRP/USDT,30m,deep,1764327600000,long,0.4280127597220872
t100-only,XRP/USDT,30m,deep,1764327600000,long,1.517105986367684
canon,XRP/USDT,30m,ote,1764358200000,short,1.398483575284235
t100-241,XRP/USDT,30m,ote,1764358200000,short,0.1012554253874395
t100-141-241,XRP/USDT,30m,ote,1764358200000,short,0.05495927364067024
t100-161-241,XRP/USDT,30m,ote,1764358200000,short,0.05495927364067024
t100-only,XRP/USDT,30m,ote,1764358200000,short,0.24014388062774725
canon,XRP/USDT,30m,ote,1765981800000,short,0.3489667989973094
t100-241,XRP/USDT,30m,ote,1765981800000,short,0.08802214250876109
t100-141-241,XRP/USDT,30m,ote,1765981800000,short,0.3086207135268362
t100-161-241,XRP/USDT,30m,ote,1765981800000,short,0.3934807644174212
t100-only,XRP/USDT,30m,ote,1765981800000,short,0.22792854258588963
canon,XRP/USDT,30m,ote,1765981800000,short,0.385773336162578
t100-241,XRP/USDT,30m,ote,1765981800000,short,0.12482867967402823
t100-141-241,XRP/USDT,30m,ote,1765981800000,short,0.3444834933288927
t100-161-241,XRP/USDT,30m,ote,1765981800000,short,0.07913697034486353
t100-only,XRP/USDT,30m,ote,1765981800000,short,0.2619038076615224
canon,XRP/USDT,30m,ote,1765985400000,long,0.33596259831684405
t100-241,XRP/USDT,30m,ote,1765985400000,long,0.07527875607765896
t100-141-241,XRP/USDT,30m,ote,1765985400000,long,0.29598133641702573
t100-161-241,XRP/USDT,30m,ote,1765985400000,long,0.02836540389774892
t100-only,XRP/USDT,30m,ote,1765985400000,long,0.21601881261738903
canon,XRP/USDT,30m,deep,1765985400000,long,1.2211801106728843
t100-241,XRP/USDT,30m,deep,1765985400000,long,0.6847992206205277
t100-141-241,XRP/USDT,30m,deep,1765985400000,long,1.3150568859261385
t100-161-241,XRP/USDT,30m,deep,1765985400000,long,0.4121288153498211
t100-only,XRP/USDT,30m,deep,1765985400000,long,1.5028104364326471
canon,XRP/USDT,30m,ote,1766176200000,short,-1.008054516142627
t100-241,XRP/USDT,30m,ote,1766176200000,short,0.1293711881183782
t100-141-241,XRP/USDT,30m,ote,1766176200000,short,0.08379595336470973
t100-161-241,XRP/USDT,30m,ote,1766176200000,short,0.08379595336470973
t100-only,XRP/USDT,30m,ote,1766176200000,short,0.26609689237938355
canon,XRP/USDT,30m,deep,1766217600000,short,-1.0430763078773302
t100-241,XRP/USDT,30m,deep,1766217600000,short,0.769955545078756
t100-141-241,XRP/USDT,30m,deep,1766217600000,short,0.49917826076006055
t100-161-241,XRP/USDT,30m,deep,1766217600000,short,0.49917826076006055
t100-only,XRP/USDT,30m,deep,1766217600000,short,1.5822873980348422
canon,XRP/USDT,30m,ote,1767425400000,long,0.3846834699146837
t100-241,XRP/USDT,30m,ote,1767425400000,long,0.12399962767549777
t100-141-241,XRP/USDT,30m,ote,1767425400000,long,0.3434529548969717
t100-161-241,XRP/USDT,30m,ote,1767425400000,long,0.4282281881454871
t100-only,XRP/USDT,30m,ote,1767425400000,long,0.2609919248615479
canon,XRP/USDT,30m,ote,1767798000000,long,-1.0065784603036358
t100-241,XRP/USDT,30m,ote,1767798000000,long,-1.0065784603036358
t100-141-241,XRP/USDT,30m,ote,1767798000000,long,-1.0065784603036358
t100-161-241,XRP/USDT,30m,ote,1767798000000,long,-1.0065784603036358
t100-only,XRP/USDT,30m,ote,1767798000000,long,-1.0065784603036358
canon,XRP/USDT,30m,ote,1767720600000,long,-1.0062232196652132
t100-241,XRP/USDT,30m,ote,1767720600000,long,-1.0062232196652132
t100-141-241,XRP/USDT,30m,ote,1767720600000,long,-1.0062232196652132
t100-161-241,XRP/USDT,30m,ote,1767720600000,long,-1.0062232196652132
t100-only,XRP/USDT,30m,ote,1767720600000,long,-1.0062232196652132
canon,XRP/USDT,30m,ote,1768185000000,short,1.2913357711923859
t100-241,XRP/USDT,30m,ote,1768185000000,short,-0.014821362378745179
t100-141-241,XRP/USDT,30m,ote,1768185000000,short,-0.06409384201695592
t100-161-241,XRP/USDT,30m,ote,1768185000000,short,-0.06409384201695592
t100-only,XRP/USDT,30m,ote,1768185000000,short,0.13299607653588713
canon,XRP/USDT,30m,deep,1768185000000,short,3.7138929742334734
t100-241,XRP/USDT,30m,deep,1768185000000,short,0.49718902924162384
t100-141-241,XRP/USDT,30m,deep,1768185000000,short,0.21941773169634196
t100-161-241,XRP/USDT,30m,deep,1768185000000,short,0.21941773169634196
t100-only,XRP/USDT,30m,deep,1768185000000,short,1.330502921877469
canon,XRP/USDT,30m,ote,1768183200000,short,-1.036825748212771
t100-241,XRP/USDT,30m,ote,1768183200000,short,0.1026550440532435
t100-141-241,XRP/USDT,30m,ote,1768183200000,short,0.05639477996457197
t100-161-241,XRP/USDT,30m,ote,1768183200000,short,0.05639477996457197
t100-only,XRP/USDT,30m,ote,1768183200000,short,0.24143583631925802
canon,XRP/USDT,30m,deep,1768185000000,short,1.1844037601142183
t100-241,XRP/USDT,30m,deep,1768185000000,short,0.6474862208472062
t100-141-241,XRP/USDT,30m,deep,1768185000000,short,1.2793487704267654
t100-161-241,XRP/USDT,30m,deep,1768185000000,short,1.4539561002696944
t100-only,XRP/USDT,30m,deep,1768185000000,short,1.4692387910518596
canon,XRP/USDT,30m,ote,1769400000000,short,1.406886922127328
t100-241,XRP/USDT,30m,ote,1769400000000,short,1.1459422656387779
t100-141-241,XRP/USDT,30m,ote,1769400000000,short,1.0207736905751645
t100-161-241,XRP/USDT,30m,ote,1769400000000,short,1.1056337414657493
t100-only,XRP/USDT,30m,ote,1769400000000,short,0.24854722747083852
canon,XRP/USDT,30m,ote,1769389200000,short,1.4154903398426257
t100-241,XRP/USDT,30m,ote,1769389200000,short,1.154545683354076
t100-141-241,XRP/USDT,30m,ote,1769389200000,short,1.0293771082904628
t100-161-241,XRP/USDT,30m,ote,1769389200000,short,1.114237159181048
t100-only,XRP/USDT,30m,ote,1769389200000,short,0.2571506451861369
canon,XRP/USDT,30m,ote,1769461200000,long,-1.0322983136257047
t100-241,XRP/USDT,30m,ote,1769461200000,long,0.10542295813999884
t100-141-241,XRP/USDT,30m,ote,1769461200000,long,0.05928253421809765
t100-161-241,XRP/USDT,30m,ote,1769461200000,long,0.05928253421809765
t100-only,XRP/USDT,30m,ote,1769461200000,long,0.24384422990570245
canon,XRP/USDT,30m,ote,1769562000000,long,0.3250464607911199
t100-241,XRP/USDT,30m,ote,1769562000000,long,0.06436261855193295
t100-141-241,XRP/USDT,30m,ote,1769562000000,long,0.017169365409824323
t100-161-241,XRP/USDT,30m,ote,1769562000000,long,0.017169365409824323
t100-only,XRP/USDT,30m,ote,1769562000000,long,0.2059423779782588
canon,XRP/USDT,30m,ote,1771162200000,long,-1.0046232799097552
t100-241,XRP/USDT,30m,ote,1771162200000,long,-1.0046232799097552
t100-141-241,XRP/USDT,30m,ote,1771162200000,long,-1.0046232799097552
t100-161-241,XRP/USDT,30m,ote,1771162200000,long,-1.0046232799097552
t100-only,XRP/USDT,30m,ote,1771162200000,long,-1.0046232799097552
canon,XRP/USDT,30m,deep,1771183800000,long,-1.0183312083829554
t100-241,XRP/USDT,30m,deep,1771183800000,long,-1.0183312083829554
t100-141-241,XRP/USDT,30m,deep,1771183800000,long,-1.0183312083829554
t100-161-241,XRP/USDT,30m,deep,1771183800000,long,-1.0183312083829554
t100-only,XRP/USDT,30m,deep,1771183800000,long,-1.0183312083829554
canon,XRP/USDT,30m,ote,1771606800000,long,0.35115199552479587
t100-241,XRP/USDT,30m,ote,1771606800000,long,0.09046815328560963
t100-141-241,XRP/USDT,30m,ote,1771606800000,long,0.04394427282898096
t100-161-241,XRP/USDT,30m,ote,1771606800000,long,0.04394427282898096
t100-only,XRP/USDT,30m,ote,1771606800000,long,0.23003979465549565
canon,XRP/USDT,30m,deep,1771768800000,long,-1.098854297471836
t100-241,XRP/USDT,30m,deep,1771768800000,long,-1.098854297471836
t100-141-241,XRP/USDT,30m,deep,1771768800000,long,-1.098854297471836
t100-161-241,XRP/USDT,30m,deep,1771768800000,long,-1.098854297471836
t100-only,XRP/USDT,30m,deep,1771768800000,long,-1.098854297471836
canon,XRP/USDT,30m,ote,1771844400000,short,0.3697975533372491
t100-241,XRP/USDT,30m,ote,1771844400000,short,0.10885289684869899
t100-141-241,XRP/USDT,30m,ote,1771844400000,short,0.32891734596062366
t100-161-241,XRP/USDT,30m,ote,1771844400000,short,0.4137773968512085
t100-only,XRP/USDT,30m,ote,1771844400000,short,0.24715693120737287
canon,XRP/USDT,30m,deep,1771849800000,short,-1.0430518683327212
t100-241,XRP/USDT,30m,deep,1771849800000,short,0.7699782389416054
t100-141-241,XRP/USDT,30m,deep,1771849800000,short,0.49920153651682986
t100-161-241,XRP/USDT,30m,deep,1771849800000,short,0.49920153651682986
t100-only,XRP/USDT,30m,deep,1771849800000,short,1.5823083462159322
canon,XRP/USDT,30m,ote,1772123400000,long,-1.0212453393936547
t100-241,XRP/USDT,30m,ote,1772123400000,long,0.11568643421261647
t100-141-241,XRP/USDT,30m,ote,1772123400000,long,0.06980917634385946
t100-161-241,XRP/USDT,30m,ote,1772123400000,long,0.06980917634385946
t100-only,XRP/USDT,30m,ote,1772123400000,long,0.2533182078188875
canon,XRP/USDT,30m,ote,1772062200000,long,-1.0160583503554144
t100-241,XRP/USDT,30m,ote,1772062200000,long,0.12050292403383991
t100-141-241,XRP/USDT,30m,ote,1772062200000,long,0.07474916590408848
t100-161-241,XRP/USDT,30m,ote,1772062200000,long,0.07474916590408848
t100-only,XRP/USDT,30m,ote,1772062200000,long,0.25776419842309417
canon,XRP/USDT,30m,ote,1772307000000,short,-1.0139234194612425
t100-241,XRP/USDT,30m,ote,1772307000000,short,-1.0139234194612425
t100-141-241,XRP/USDT,30m,ote,1772307000000,short,-1.0139234194612425
t100-161-241,XRP/USDT,30m,ote,1772307000000,short,-1.0139234194612425
t100-only,XRP/USDT,30m,ote,1772307000000,short,-1.0139234194612425
canon,XRP/USDT,30m,ote,1772395200000,long,0.37332637247725814
t100-241,XRP/USDT,30m,ote,1772395200000,long,0.11264253023807136
t100-141-241,XRP/USDT,30m,ote,1772395200000,long,0.06668722354945364
t100-161-241,XRP/USDT,30m,ote,1772395200000,long,0.06668722354945364
t100-only,XRP/USDT,30m,ote,1772395200000,long,0.2505084503039245
canon,XRP/USDT,30m,ote,1772346600000,long,0.3816001289049128
t100-241,XRP/USDT,30m,ote,1772346600000,long,0.12091628666572726
t100-141-241,XRP/USDT,30m,ote,1772346600000,long,0.07517312757781887
t100-161-241,XRP/USDT,30m,ote,1772346600000,long,0.07517312757781887
t100-only,XRP/USDT,30m,ote,1772346600000,long,0.2581457639294525
canon,XRP/USDT,30m,ote,1772506800000,long,0.34854294299171373
t100-241,XRP/USDT,30m,ote,1772506800000,long,0.08785910075252958
t100-141-241,XRP/USDT,30m,ote,1772506800000,long,0.041268321513001416
t100-161-241,XRP/USDT,30m,ote,1772506800000,long,0.041268321513001416
